,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-lh-LC1,,,,,,,,,,,,,,,,,,,,,,0.191,-0.059,0.128,0.049,0.053,-0.032,-0.067,-0.08,-0.056,-0.091,-0.04,-0.057,-0.151,0.149,0.031,-0.081,-0.024,-0.072,-0.009,0.064,0.018,0.039,-0.096,-0.109,0.067,-0.083,0.049,-0.161,-0.006,-0.037,-0.024,0.045,0.058,-0.125,-0.075,0.147,0.051,0.055,-0.141,-0.06,-0.058,0.034,0.146,0.048,0.008,0.019,0.035,0.02,-0.051,-0.058,-0.173,-0.124,-0.142,-0.117,-0.08,-0.096,0.151,0.08,-0.002,0.012,-0.044,0.098,0.045,-0.001,-0.023
ctx-lh-LC2,,,,,,,,,,,,,,,,,,,,,,,0.011,0.046,0.04,0.075,-0.033,-0.07,-0.008,-0.014,-0.064,0.009,-0.014,-0.16,0.1,0.026,-0.066,-0.005,-0.002,0.056,0.047,-0.056,0.034,-0.106,-0.158,0.043,-0.079,0.017,-0.192,-0.017,-0.053,-0.059,0.043,0.036,-0.094,-0.037,0.049,0.084,-0.068,-0.093,-0.004,-0.054,0.063,0.16,0.005,0.051,-0.036,-0.002,0.055,-0.021,-0.071,-0.129,-0.074,-0.133,-0.079,-0.069,-0.063,0.075,0.102,0.06,0.038,-0.073,0.081,0.0,-0.027,0.057
ctx-lh-LC3,,,,,,,,,,,,,,,,,,,,,,,,0.009,-0.003,0.123,-0.076,-0.138,-0.001,0.042,0.053,-0.031,-0.059,0.081,-0.004,0.24,0.212,0.06,0.07,-0.127,0.139,0.053,-0.019,0.068,0.006,-0.09,-0.044,-0.038,0.033,0.012,-0.1,0.037,-0.116,-0.057,-0.155,-0.086,-0.23,-0.057,0.121,0.043,0.108,-0.019,-0.001,-0.037,0.06,0.028,0.019,0.062,0.097,-0.051,-0.068,-0.05,0.1,0.1,0.052,-0.026,0.047,0.02,0.185,0.142,-0.046,0.011,0.033,0.104,0.097,0.009
ctx-lh-LD,,,,,,,,,,,,,,,,,,,,,,,,,0.093,0.022,-0.023,-0.017,-0.007,-0.105,-0.032,0.092,0.061,-0.066,0.066,0.022,-0.197,-0.143,-0.057,-0.205,-0.055,0.032,-0.127,-0.106,-0.134,0.017,-0.083,0.016,0.047,-0.059,-0.026,0.0,-0.063,0.021,-0.096,-0.049,0.073,0.198,0.106,-0.092,-0.127,-0.076,0.103,0.039,0.043,0.057,-0.15,-0.077,-0.02,0.003,-0.08,-0.127,-0.185,-0.077,-0.045,0.011,-0.075,0.088,0.029,-0.066,0.01,0.009,-0.192,-0.042,-0.001,-0.051
ctx-lh-LE,,,,,,,,,,,,,,,,,,,,,,,,,,0.053,-0.066,-0.102,-0.012,-0.061,-0.073,0.035,-0.035,-0.098,0.131,0.076,-0.041,-0.09,-0.039,0.015,0.083,-0.056,-0.036,-0.037,-0.072,0.083,-0.004,-0.002,-0.041,-0.025,-0.044,-0.031,0.009,0.094,-0.186,-0.058,0.002,-0.035,0.024,-0.101,-0.181,-0.136,-0.003,0.1,-0.007,0.004,-0.014,-0.004,-0.004,-0.058,-0.094,-0.093,-0.025,-0.088,-0.088,-0.093,-0.042,0.199,0.098,0.05,-0.124,-0.12,-0.038,0.124,-0.021,-0.039
ctx-lh-OA,,,,,,,,,,,,,,,,,,,,,,,,,,,0.098,0.181,-0.203,-0.249,-0.174,-0.188,-0.142,-0.006,0.011,0.048,-0.061,-0.009,0.135,0.057,0.025,-0.018,-0.043,-0.112,-0.019,0.176,0.007,0.189,0.186,0.018,0.156,0.188,0.063,0.09,-0.003,0.122,-0.083,-0.198,0.03,-0.018,-0.017,0.213,0.236,0.101,0.117,0.053,-0.101,0.023,0.087,0.17,0.185,-0.189,-0.214,-0.13,-0.169,-0.09,-0.002,0.057,-0.045,-0.059,0.007,0.096,-0.085,-0.039,0.013,-0.127
ctx-lh-OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.028,0.018,-0.052,0.076,0.047,-0.07,0.006,0.002,0.12,-0.042,0.047,0.05,-0.051,0.014,0.057,-0.067,0.097,0.08,0.02,0.021,-0.032,0.018,-0.046,0.001,0.064,0.073,0.12,-0.058,0.141,-0.116,-0.121,0.041,-0.011,-0.009,0.048,0.072,-0.047,0.046,-0.139,-0.135,-0.091,0.047,-0.081,0.024,0.073,-0.015,0.112,0.02,-0.082,0.01,0.043,0.057,0.013,0.016,0.056,-0.069,0.049,0.083,-0.14
ctx-lh-OC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,-0.008,0.083,0.011,-0.049,-0.007,0.031,0.176,-0.087,-0.004,-0.085,-0.091,0.083,0.133,-0.011,0.109,0.027,-0.003,0.01,-0.032,0.039,0.023,-0.015,0.08,0.06,0.089,-0.083,0.16,-0.062,-0.094,0.072,-0.06,-0.067,-0.089,-0.044,-0.103,0.007,-0.235,-0.121,-0.118,0.129,0.043,-0.097,0.073,0.011,0.106,0.014,-0.091,0.007,0.043,0.146,0.043,-0.037,-0.038,-0.143,0.128,0.141,-0.028
ctx-lh-PA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.108,-0.109,-0.101,0.086,0.096,0.021,-0.166,-0.044,-0.04,0.19,-0.055,-0.151,-0.101,-0.112,0.006,0.093,0.087,0.112,-0.101,0.151,0.121,-0.01,-0.052,-0.031,0.005,0.011,0.022,0.062,-0.126,-0.029,0.066,0.004,0.096,0.012,-0.028,-0.041,0.125,-0.051,0.075,-0.202,-0.038,0.068,-0.072,-0.09,-0.136,-0.185,0.02,0.197,0.031,-0.112,-0.061,0.032,0.2,0.059,-0.02,-0.146,-0.066
ctx-lh-PB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.09,-0.076,0.075,0.008,-0.224,0.131,-0.08,0.084,-0.039,0.033,-0.058,0.099,0.038,0.003,0.053,0.106,-0.095,-0.046,0.154,0.013,-0.028,0.109,0.071,0.022,0.059,0.135,-0.007,-0.02,0.086,0.062,-0.006,-0.034,-0.016,-0.055,0.04,-0.061,0.013,-0.234,-0.105,0.001,-0.158,-0.013,-0.115,-0.182,-0.081,0.109,-0.035,-0.112,0.042,-0.003,0.094,0.015,0.047,-0.155,0.12
