,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-rh-BA6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,0.062,0.034,0.049,-0.04,-0.024,0.027,-0.044,-0.055,-0.039,0.032,0.074,0.006,0.012,0.097,-0.02,0.016,-0.036,-0.031,-0.025,0.055,0.075,0.041,-0.057,-0.097,0.132,0.039,-0.053,0.06,0.068,-0.077,-0.08,-0.086,-0.019
ctx-rh-BA7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,0.042,0.025,-0.053,0.013,0.074,0.027,-0.026,-0.019,-0.069,-0.068,-0.073,0.091,0.153,-0.005,0.044,0.096,-0.045,0.094,0.094,0.108,0.006,-0.078,-0.204,0.013,0.015,0.025,0.126,0.054,-0.005,-0.054,-0.027,-0.051
ctx-rh-BA8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.044,-0.051,-0.063,0.066,-0.012,-0.023,0.066,0.082,-0.114,-0.078,0.107,-0.054,-0.019,-0.055,-0.097,0.019,0.021,-0.032,-0.065,-0.035,0.052,0.059,0.13,-0.083,-0.031,0.064,0.026,0.034,0.079,0.115,0.097,-0.017
ctx-rh-BA9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,-0.051,0.029,0.017,-0.017,0.049,0.024,-0.11,-0.041,0.12,-0.016,-0.026,-0.018,-0.051,0.015,0.02,-0.024,-0.062,-0.053,0.018,0.057,0.128,-0.118,0.013,0.022,0.018,0.068,0.029,0.091,0.076,0.035
ctx-rh-BA10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.036,0.053,0.008,-0.039,0.019,0.023,-0.093,-0.076,0.04,-0.038,-0.046,0.0,-0.076,0.012,0.048,-0.029,-0.057,-0.056,-0.039,0.074,0.029,-0.087,-0.028,0.023,-0.002,0.028,0.083,0.112,0.078,0.073
ctx-rh-BA11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.015,0.029,-0.071,-0.054,-0.037,0.031,0.037,0.074,-0.025,-0.08,0.049,0.049,0.091,0.088,-0.017,-0.046,-0.018,-0.018,0.095,0.023,0.037,-0.019,-0.027,0.006,0.014,-0.028,0.043,-0.023,-0.004
ctx-rh-BA13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.025,-0.132,-0.094,-0.019,0.052,0.048,-0.025,0.006,-0.055,0.051,0.021,-0.029,0.017,-0.044,0.008,-0.055,0.03,-0.008,-0.047,0.085,0.059,-0.099,-0.0,-0.036,-0.067,-0.059,-0.035,-0.014
ctx-rh-BA16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.028,-0.004,0.039,0.06,-0.032,-0.126,-0.058,-0.059,0.024,-0.024,-0.036,0.019,-0.062,-0.015,-0.019,0.071,0.026,-0.006,0.046,-0.044,-0.025,-0.026,-0.042,-0.011,-0.074,-0.006,0.01
ctx-rh-BA17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.022,0.057,0.005,0.072,0.034,0.135,0.005,0.022,0.088,0.026,0.037,0.059,0.011,0.012,-0.015,0.013,-0.087,0.01,0.122,-0.06,0.061,-0.016,-0.133,-0.131,-0.099,-0.155
ctx-rh-BA18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,0.021,0.067,-0.048,0.128,0.037,0.034,0.092,0.001,-0.006,0.118,0.089,0.058,-0.035,-0.025,-0.162,-0.017,0.098,-0.035,0.083,-0.048,-0.046,-0.093,-0.043,-0.081
ctx-rh-BA19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.008,-0.018,-0.138,0.098,0.083,0.021,0.056,-0.002,-0.062,0.108,0.11,0.085,-0.067,-0.057,-0.228,-0.0,0.068,0.015,0.088,-0.052,-0.011,-0.072,-0.006,-0.036
ctx-rh-BA20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.078,-0.003,-0.101,0.055,0.028,0.096,0.148,-0.058,-0.124,-0.033,0.018,0.174,0.126,0.077,-0.042,-0.073,0.043,0.075,-0.049,-0.05,-0.042,-0.026
ctx-rh-BA21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.109,-0.027,-0.08,0.006,0.007,-0.009,0.059,-0.059,-0.108,-0.14,0.032,0.116,0.141,0.047,-0.043,0.008,-0.037,0.047,-0.006,0.044,0.011,0.005
ctx-rh-BA22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,0.024,0.014,0.066,-0.153,-0.011,0.028,0.057,-0.043,0.003,0.02,-0.037,0.079,0.035,-0.061,-0.203,-0.129,0.003,0.108,0.016,0.096
ctx-rh-BA23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.153,-0.006,-0.142,-0.011,0.011,-0.08,-0.151,-0.099,0.017,0.077,0.134,-0.1,0.036,0.048,-0.07,-0.061,0.029,0.088,0.139,0.083
ctx-rh-BA24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.072,-0.18,-0.073,-0.043,-0.126,-0.084,-0.09,-0.031,-0.062,0.069,-0.108,-0.035,0.072,0.005,-0.016,0.052,0.005,0.039,-0.046
ctx-rh-BA25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.016,0.095,0.011,-0.045,-0.043,0.004,0.065,0.095,0.019,0.022,0.008,-0.025,0.022,0.003,0.017,0.017,0.032
