,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.003,0.012,-0.022,-0.02,0.013,-0.006,0.023,-0.001,-0.001,0.072,0.001,-0.001,-0.056
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.013,0.001,0.018,0.001,0.014,0.031,0.033,0.04,-0.042,-0.011,0.041,0.014
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.088,0.016,0.068,0.03,0.017,0.01,-0.001,-0.016,-0.091,-0.041,-0.018
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.093,-0.125,-0.071,-0.039,-0.015,0.004,-0.044,-0.059,-0.082,0.001
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,-0.02,0.019,0.032,0.016,0.019,0.021,-0.071,-0.075,-0.054
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.056,0.039,0.061,0.025,0.05,0.021,-0.031,0.067
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.05,0.055,-0.016,0.039,-0.032,0.019,0.009
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.049,0.021,-0.003,-0.016,0.024,-0.015
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.012,0.008,0.02,0.047,0.025
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039,0.041,0.065,-0.046
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.084,-0.03,0.059
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,-0.043
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.023
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
