,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.043,0.099,0.149,0.105,0.022,0.065,-0.055,-0.071,0.066,0.021,-0.079,0.129,0.076,0.082,-0.095
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.095,0.077,0.077,0.063,0.041,0.079,-0.094,-0.009,-0.158,-0.002,-0.062,-0.002,0.01,-0.116
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.358,-0.132,-0.049,-0.096,0.054,-0.092,-0.173,-0.169,-0.106,0.013,-0.019,-0.181,0.137
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.291,0.009,-0.12,-0.018,-0.044,-0.166,-0.157,0.002,-0.007,-0.087,-0.132,0.129
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.114,-0.168,-0.034,-0.053,-0.17,-0.176,0.003,0.003,-0.013,-0.19,0.222
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.079,-0.058,-0.024,0.007,-0.079,0.008,0.047,-0.145,-0.016,0.108
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.003,0.049,-0.144,0.072,0.083,0.043,0.03,0.003,0.077
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.064,-0.037,0.076,0.104,-0.029,0.008,-0.044,0.144
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077,0.129,0.129,-0.131,-0.012,0.033,-0.086
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068,0.025,0.012,0.044,-0.047,0.117
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.081,-0.109,-0.039,-0.018,0.047
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.192,-0.058,-0.005,0.026
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.123,0.072,-0.065
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.092,-0.07
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
