,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-rh-K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.158,0.16,0.136,-0.029,0.137,0.089,0.011,0.11,-0.082,0.07,0.199,-0.127,-0.025,-0.041,-0.202,-0.163,-0.101,-0.148,-0.2,-0.167,-0.013,0.157,-0.079,-0.046,0.038,0.175,-0.012,0.001,-0.158,-0.177,-0.134,-0.056,0.006,-0.005,0.163,0.222,0.1,0.005,0.117,-0.029,0.102,0.079,0.121,-0.062,0.034
ctx-rh-K6aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.126,0.021,0.026,0.049,-0.109,-0.141,-0.034,-0.005,0.15,0.173,-0.078,0.068,0.05,-0.081,-0.011,-0.055,0.015,-0.077,-0.032,-0.076,0.089,0.014,0.144,0.151,0.057,-0.103,0.042,-0.046,0.028,0.005,0.077,0.156,-0.175,0.121,0.017,0.028,0.009,0.094,0.027,0.042,0.061,0.067,-0.141,0.032
ctx-rh-K6ab_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.13,0.008,-0.091,-0.06,-0.024,-0.051,-0.018,-0.025,-0.03,-0.036,-0.01,-0.016,0.021,0.067,0.023,-0.002,0.037,-0.165,-0.025,0.038,0.122,0.242,0.029,-0.133,0.043,0.104,0.119,0.13,0.221,0.134,-0.083,0.015,-0.023,0.031,0.068,0.087,-0.031,-0.024,0.014,0.162,0.03,0.033
ctx-rh-K6ab_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.184,0.011,-0.081,-0.047,0.042,-0.039,-0.014,-0.092,-0.011,0.093,0.099,0.007,0.159,0.163,0.06,0.094,0.088,-0.099,-0.112,-0.123,-0.044,-0.009,-0.079,-0.085,0.002,0.041,0.035,-0.008,0.12,0.06,-0.12,-0.031,0.004,-0.001,-0.049,-0.15,-0.141,-0.034,-0.084,0.014,0.011,0.014
ctx-rh-K7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.202,0.056,0.147,0.142,-0.023,0.026,0.008,-0.073,0.001,0.0,-0.072,-0.092,-0.09,-0.045,-0.043,0.002,-0.185,0.017,-0.087,-0.024,0.111,0.062,0.001,-0.091,-0.108,-0.131,-0.184,-0.038,-0.11,-0.079,0.037,0.103,-0.067,-0.069,0.109,-0.007,0.001,0.089,0.112,0.118,0.12
ctx-rh-K8_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,-0.064,-0.072,-0.12,-0.059,-0.094,0.031,0.006,0.033,0.07,0.143,0.102,0.077,0.171,0.156,-0.027,-0.064,0.046,0.036,0.049,-0.026,-0.112,-0.122,0.168,0.067,-0.015,0.11,0.035,0.027,-0.059,0.011,0.102,0.066,-0.072,0.016,-0.017,-0.082,-0.028,0.071,-0.033
ctx-rh-K8_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.049,0.054,0.015,-0.123,-0.143,0.026,-0.052,-0.015,0.027,0.077,0.033,-0.043,0.097,0.046,0.009,-0.007,-0.103,0.017,-0.056,0.012,0.071,0.025,0.108,0.068,0.017,0.051,0.077,0.054,-0.023,-0.075,-0.018,-0.041,-0.068,-0.1,-0.089,-0.014,-0.056,-0.011,0.039
ctx-rh-K9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.061,-0.053,-0.194,-0.226,0.096,0.043,0.044,0.164,0.194,0.126,0.092,0.163,0.172,0.012,0.039,0.045,-0.003,-0.107,-0.104,0.047,-0.06,0.09,0.035,0.002,0.067,0.001,0.069,-0.048,-0.115,-0.085,-0.093,-0.245,-0.094,-0.118,-0.054,-0.061,-0.037,0.033
ctx-rh-K10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,-0.057,-0.159,0.048,-0.007,-0.018,0.144,0.092,0.089,-0.0,0.161,0.112,-0.074,-0.143,0.006,-0.058,-0.103,-0.164,-0.034,-0.148,0.049,0.046,-0.011,0.01,-0.024,0.04,-0.126,-0.093,0.014,0.005,-0.169,-0.065,-0.024,-0.095,-0.056,0.054,0.027
ctx-rh-K11_12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.104,0.054,0.118,0.0,-0.074,0.093,0.016,0.092,0.041,0.067,0.049,0.021,-0.15,-0.09,-0.051,-0.227,-0.143,0.015,-0.035,0.143,0.119,0.079,-0.037,0.024,0.129,-0.126,-0.197,-0.055,0.053,-0.097,0.024,-0.038,-0.045,-0.072,-0.074,-0.071
ctx-rh-K13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.079,-0.118,-0.035,-0.032,-0.024,-0.017,-0.065,0.122,-0.015,0.04,-0.071,-0.056,0.001,0.133,0.163,-0.03,-0.265,0.045,-0.195,-0.069,0.036,0.144,0.029,-0.176,-0.004,-0.006,0.073,0.091,0.092,0.048,0.126,0.027,0.006,-0.042,-0.062
ctx-rh-K16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.091,-0.052,0.047,-0.016,-0.048,0.134,-0.042,0.005,0.114,-0.011,-0.096,0.136,0.18,0.029,-0.158,0.122,-0.069,-0.005,0.141,0.172,0.033,-0.137,0.099,-0.014,0.138,0.176,0.092,0.098,0.096,0.021,0.107,-0.122,0.003
ctx-rh-K17_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019,-0.026,0.017,0.02,0.016,-0.03,0.079,0.007,-0.003,0.073,-0.109,0.033,0.063,0.073,0.122,0.05,0.006,0.079,0.03,-0.033,-0.046,0.083,-0.06,-0.092,-0.079,-0.038,0.008,0.013,-0.092,-0.022,-0.032,-0.084,-0.015
ctx-rh-K17_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033,0.064,0.165,0.07,0.134,0.186,0.071,0.02,0.026,-0.009,0.058,0.105,0.122,-0.115,0.042,0.024,0.033,0.141,0.106,-0.067,0.009,0.033,0.035,0.041,0.074,-0.037,-0.041,0.018,-0.002,0.084,0.07,0.018
ctx-rh-K17_3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,0.141,0.1,0.122,0.17,0.077,-0.012,0.042,-0.028,0.027,0.167,0.148,-0.029,0.091,0.032,0.011,0.06,0.059,-0.091,-0.005,0.081,0.071,0.1,0.086,0.07,0.016,0.042,0.053,0.086,-0.011,-0.08
ctx-rh-K18_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.003,-0.142,0.057,0.022,-0.002,0.065,-0.176,-0.023,0.006,0.068,0.217,0.023,0.019,0.039,0.006,-0.03,-0.046,0.08,0.001,0.047,-0.035,-0.025,0.013,-0.021,0.0,0.026,-0.02,0.071,0.042
ctx-rh-K18_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.051,-0.112,0.029,-0.036,0.085,0.0,-0.047,0.003,0.088,0.0,-0.02,0.004,-0.036,0.049,-0.038,-0.149,0.037,0.043,0.042,-0.056,0.023,-0.003,-0.037,0.048,-0.014,0.069,0.164,0.095
