,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K9,,,,,,,,,,,,-0.073,-0.056,0.061,0.016,0.047,-0.036,-0.055,0.023,-0.012,-0.028,0.057,-0.015,-0.006,-0.064,-0.108,-0.001,-0.078,-0.026,0.021,0.001,0.02,-0.116,-0.126,-0.089,-0.032,-0.132,0.009,-0.049,0.045,0.047,0.006,-0.036,0.017,0.07,0.023,-0.007,0.067,-0.03,0.001,-0.013,-0.025,-0.011,-0.018,0.026,0.026,0.005,-0.025,0.041,-0.067,-0.066,-0.005,0.058,-0.018,0.029,-0.015,-0.04,0.007,0.009,-0.031,0.005,0.005,-0.035,-0.139,-0.137,0.034,-0.065,-0.019,-0.026,-0.012,-0.096,-0.083,-0.061,-0.096,-0.03,-0.114,-0.038,-0.092,0.075,-0.009,-0.049,-0.047,-0.022,0.065,-0.001,-0.023,0.06,0.001
ctx-lh-K10,,,,,,,,,,,,,-0.059,0.049,-0.041,0.012,-0.027,-0.064,-0.001,0.025,-0.029,0.043,-0.009,-0.028,-0.06,-0.148,-0.038,-0.152,-0.098,-0.06,-0.032,0.034,-0.055,-0.105,-0.068,-0.071,-0.151,0.01,-0.074,0.068,0.001,-0.057,-0.076,-0.008,0.008,-0.005,-0.069,0.049,-0.066,-0.067,-0.117,-0.119,-0.096,-0.063,-0.034,-0.012,-0.012,-0.047,0.039,-0.103,0.003,0.002,-0.004,-0.077,0.018,0.005,-0.053,-0.005,0.027,-0.027,0.005,0.034,-0.039,-0.102,-0.14,-0.016,-0.168,-0.101,-0.089,-0.02,-0.057,-0.057,-0.043,-0.067,-0.066,-0.116,0.002,-0.12,0.093,-0.052,-0.112,-0.089,-0.101,0.04,-0.008,-0.038,0.052,0.0
ctx-lh-K11_12,,,,,,,,,,,,,,0.04,0.006,0.011,-0.0,0.009,-0.001,0.008,-0.011,0.033,-0.034,-0.027,-0.006,-0.075,-0.015,-0.095,-0.113,-0.075,-0.051,0.049,0.029,-0.022,0.035,-0.006,-0.029,-0.006,-0.1,0.02,0.003,-0.016,-0.053,0.006,0.07,0.035,0.017,0.065,-0.034,-0.034,-0.062,-0.073,-0.081,0.008,-0.013,0.006,-0.001,-0.066,-0.039,-0.078,-0.054,0.08,0.027,0.008,0.014,0.024,-0.01,-0.023,-0.001,0.024,0.021,-0.013,-0.019,-0.05,-0.072,-0.026,-0.053,-0.074,-0.119,-0.026,0.012,-0.011,0.051,0.038,0.029,-0.08,0.002,-0.084,0.055,0.01,-0.023,-0.048,-0.044,-0.005,-0.003,0.005,0.039,0.036
ctx-lh-K13,,,,,,,,,,,,,,,-0.021,-0.02,-0.082,-0.098,0.049,-0.014,-0.055,0.063,0.002,0.005,0.012,0.018,0.003,-0.016,0.032,-0.057,0.107,0.041,-0.032,-0.02,-0.007,-0.035,0.056,0.054,0.031,0.097,-0.02,0.026,0.071,0.016,-0.023,-0.012,-0.009,-0.006,0.07,0.061,0.148,0.1,0.121,-0.019,-0.107,0.001,0.065,0.008,0.081,-0.011,0.018,0.057,-0.025,0.05,0.037,-0.092,-0.08,0.073,-0.032,-0.023,0.089,0.026,0.041,-0.038,-0.017,0.076,-0.007,-0.035,-0.072,0.059,0.029,-0.029,0.025,-0.07,-0.001,0.036,0.033,-0.03,-0.012,-0.001,0.033,0.039,0.007,-0.132,-0.07,-0.148,-0.063,-0.031
ctx-lh-K16,,,,,,,,,,,,,,,,-0.004,-0.052,-0.045,0.041,-0.05,-0.117,0.058,-0.055,-0.032,0.012,0.022,0.006,-0.012,-0.019,-0.088,0.026,0.035,-0.036,-0.042,-0.047,-0.06,0.008,0.014,0.007,0.028,-0.052,-0.082,-0.035,-0.103,0.006,0.031,0.004,-0.023,0.058,-0.052,0.053,0.055,0.019,-0.007,-0.048,0.022,0.044,-0.031,0.046,-0.006,0.002,0.018,-0.114,-0.053,0.061,-0.052,-0.047,0.044,-0.033,-0.056,0.085,-0.028,-0.014,-0.029,-0.022,0.005,-0.068,-0.121,-0.094,0.01,-0.013,-0.039,-0.012,-0.077,-0.031,-0.007,0.007,-0.028,-0.024,-0.12,-0.065,-0.069,-0.104,-0.047,-0.043,-0.064,-0.024,-0.022
ctx-lh-K17_1,,,,,,,,,,,,,,,,,-0.08,-0.106,-0.003,-0.025,-0.067,0.04,0.011,-0.054,0.027,0.098,0.042,0.044,0.078,0.051,0.123,0.038,-0.035,-0.022,-0.017,0.009,0.015,0.105,0.098,0.102,0.023,0.049,0.043,0.039,-0.004,0.013,0.033,0.008,0.014,0.068,0.048,0.048,0.045,0.007,-0.005,0.012,-0.004,0.065,0.04,0.069,0.034,-0.034,-0.036,-0.011,0.0,-0.073,-0.082,0.002,0.006,-0.041,0.03,0.011,-0.033,-0.021,0.052,-0.001,-0.012,0.03,0.048,0.123,0.023,-0.017,-0.013,-0.029,-0.036,0.027,0.082,0.074,0.031,-0.03,-0.049,0.034,0.005,-0.025,0.043,-0.011,0.01,-0.002
ctx-lh-K17_2,,,,,,,,,,,,,,,,,,-0.093,-0.009,0.058,-0.069,0.054,0.05,-0.01,-0.019,-0.025,-0.021,-0.019,-0.008,-0.051,0.054,-0.036,-0.069,-0.025,-0.052,-0.06,0.005,0.0,0.026,0.044,0.023,-0.006,-0.053,-0.059,-0.004,-0.027,-0.045,-0.061,-0.002,-0.006,0.006,0.034,0.074,-0.019,-0.07,-0.009,0.078,-0.044,-0.026,-0.024,-0.038,-0.042,-0.074,-0.053,-0.007,-0.129,-0.072,0.015,-0.03,-0.024,0.041,0.028,-0.007,0.001,-0.036,-0.022,-0.068,-0.082,-0.068,0.042,-0.051,-0.038,-0.043,-0.032,-0.096,0.03,-0.001,-0.037,0.034,-0.053,-0.04,-0.042,-0.054,-0.076,-0.081,-0.125,-0.057,-0.072
ctx-lh-K17_3,,,,,,,,,,,,,,,,,,,0.003,0.031,-0.066,0.08,0.04,0.007,-0.035,-0.01,0.022,-0.013,0.015,0.005,0.015,-0.047,-0.057,-0.046,-0.033,-0.007,-0.004,0.012,0.025,0.042,0.014,-0.013,-0.031,-0.035,-0.021,-0.021,-0.048,-0.062,-0.049,0.028,0.049,0.06,0.081,0.002,-0.039,0.021,0.089,-0.034,-0.014,-0.033,-0.056,-0.04,-0.043,-0.043,-0.024,-0.163,-0.098,0.017,0.002,-0.042,0.074,0.03,0.02,-0.006,-0.035,-0.019,-0.033,-0.064,-0.046,0.032,-0.01,-0.032,-0.016,-0.011,-0.048,0.027,-0.0,-0.023,0.025,-0.056,-0.044,-0.022,-0.053,-0.076,-0.043,-0.097,-0.038,-0.09
ctx-lh-K18_1,,,,,,,,,,,,,,,,,,,,0.001,-0.029,-0.007,-0.008,-0.005,-0.001,0.036,0.03,-0.05,0.007,0.068,0.111,0.074,-0.039,-0.014,0.018,-0.007,-0.047,0.097,0.066,0.129,0.074,0.067,0.05,0.053,0.032,0.051,0.028,0.03,-0.011,0.027,-0.012,-0.018,0.008,0.008,0.029,0.053,-0.001,0.09,0.071,0.041,0.019,-0.034,0.012,0.019,-0.036,0.031,-0.021,-0.046,0.028,0.002,0.01,0.027,-0.037,-0.052,-0.001,-0.032,-0.057,-0.039,0.019,0.115,0.008,-0.053,0.019,-0.055,-0.056,-0.006,0.088,0.059,0.058,-0.0,-0.045,0.06,-0.001,0.047,0.087,0.036,0.043,-0.017
ctx-lh-K18_2,,,,,,,,,,,,,,,,,,,,,-0.078,0.013,-0.055,-0.05,0.004,-0.022,-0.029,-0.098,-0.074,-0.089,0.081,-0.008,-0.073,-0.09,-0.073,-0.091,-0.049,0.032,0.024,0.092,0.038,-0.041,-0.058,-0.089,0.03,0.012,-0.013,-0.03,0.021,-0.063,-0.089,-0.043,-0.01,-0.054,-0.029,0.016,0.051,0.011,0.003,-0.012,-0.014,-0.014,-0.043,-0.082,0.007,0.05,0.04,-0.0,-0.081,-0.018,-0.022,-0.074,-0.043,-0.026,-0.059,-0.04,-0.118,-0.153,-0.101,0.055,-0.049,-0.038,-0.076,-0.054,-0.154,0.002,0.027,-0.049,0.064,-0.088,-0.079,-0.026,-0.095,-0.034,-0.056,-0.075,0.002,-0.03
ctx-lh-K18_3,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.078,-0.082,0.004,0.001,-0.046,-0.092,-0.043,-0.043,0.042,0.003,-0.07,-0.051,-0.066,-0.111,-0.02,0.033,0.018,0.051,-0.024,-0.054,-0.06,-0.109,-0.051,-0.02,-0.063,-0.058,-0.029,-0.075,-0.087,-0.066,-0.019,-0.091,-0.035,-0.03,-0.013,0.005,-0.016,0.006,-0.002,-0.016,-0.09,-0.1,0.004,-0.073,-0.075,-0.029,-0.104,-0.115,-0.052,-0.088,-0.106,-0.013,-0.042,-0.067,-0.118,-0.128,-0.088,0.067,0.006,-0.083,-0.071,-0.05,-0.142,-0.015,0.026,-0.047,-0.001,-0.149,-0.133,-0.095,-0.118,-0.059,-0.022,-0.086,-0.037,-0.024
ctx-lh-K19_1,,,,,,,,,,,,,,,,,,,,,,,-0.011,-0.128,0.021,0.018,0.049,-0.06,-0.034,-0.002,0.162,0.023,-0.022,-0.042,-0.046,-0.09,-0.048,0.139,0.063,0.16,0.098,0.057,0.035,0.002,0.064,0.078,0.053,0.075,0.048,-0.002,-0.036,-0.024,0.023,-0.015,0.002,0.014,-0.043,0.107,0.08,0.071,0.057,0.002,0.007,0.023,0.004,0.069,0.038,-0.079,0.007,-0.037,-0.097,0.013,-0.164,-0.051,-0.034,-0.049,-0.086,-0.079,-0.047,0.158,-0.014,-0.026,-0.062,-0.119,-0.224,-0.023,0.098,0.024,0.08,-0.007,-0.053,0.06,-0.021,0.039,0.031,0.017,0.049,0.005
ctx-lh-K19_2,,,,,,,,,,,,,,,,,,,,,,,,-0.062,-0.004,-0.058,-0.047,-0.16,-0.121,-0.084,0.078,-0.023,-0.081,-0.094,-0.104,-0.124,-0.081,0.042,0.011,0.119,0.061,-0.007,-0.058,-0.105,0.016,0.0,-0.031,-0.014,0.003,-0.072,-0.071,-0.073,0.005,-0.066,-0.063,0.001,0.038,0.022,0.024,-0.003,-0.009,-0.038,-0.035,-0.054,0.024,0.036,0.01,-0.003,-0.062,-0.075,-0.032,-0.08,-0.108,-0.048,-0.092,-0.085,-0.154,-0.181,-0.117,0.071,-0.055,-0.073,-0.12,-0.11,-0.194,-0.037,0.038,-0.048,0.08,-0.063,-0.074,-0.037,-0.105,-0.044,-0.069,-0.082,0.004,-0.049
ctx-lh-K19_3,,,,,,,,,,,,,,,,,,,,,,,,,0.001,-0.025,0.009,-0.103,-0.078,-0.059,0.082,0.028,-0.056,-0.057,-0.064,-0.138,-0.048,0.042,-0.008,0.09,0.035,-0.012,-0.024,-0.074,-0.013,-0.004,-0.034,-0.011,0.006,-0.053,-0.077,-0.059,-0.017,-0.074,-0.005,0.007,-0.035,0.039,0.015,0.01,0.021,-0.026,-0.044,-0.028,0.011,-0.023,-0.03,-0.031,-0.097,-0.086,-0.091,-0.07,-0.142,-0.049,-0.054,-0.029,-0.112,-0.121,-0.075,0.098,0.0,-0.07,-0.082,-0.115,-0.235,-0.026,0.034,-0.058,0.033,-0.098,-0.122,-0.026,-0.091,-0.005,0.031,-0.037,0.009,-0.007
ctx-lh-K20,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.016,-0.08,-0.1,-0.074,-0.006,0.0,0.009,0.0,0.08,0.031,0.025,-0.013,-0.036,-0.096,-0.084,0.014,-0.018,0.03,-0.007,-0.062,-0.041,-0.038,-0.044,-0.037,-0.042,-0.058,-0.046,-0.032,-0.033,-0.056,-0.024,-0.072,-0.075,-0.066,-0.043,-0.017,-0.004,-0.024,0.012,0.021,-0.012,0.001,-0.016,0.026,0.006,-0.02,-0.035,-0.047,-0.079,0.025,-0.062,-0.038,-0.089,0.004,-0.022,-0.011,0.04,0.019,0.008,0.008,-0.016,-0.057,-0.074,-0.004,-0.024,-0.029,-0.002,-0.058,-0.046,-0.05,-0.037,-0.071
ctx-lh-K21,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.063,-0.056,-0.029,-0.042,-0.002,-0.079,-0.083,-0.021,0.003,-0.048,-0.024,-0.085,-0.086,-0.014,0.001,-0.067,0.003,-0.013,-0.072,-0.085,-0.056,-0.054,-0.083,-0.08,-0.093,-0.083,-0.014,0.01,-0.033,-0.042,-0.119,-0.062,-0.128,-0.13,-0.04,0.03,-0.039,0.104,0.039,0.001,0.007,0.006,0.002,-0.007,-0.053,-0.071,-0.068,-0.173,-0.05,-0.115,-0.063,-0.069,-0.02,-0.068,-0.112,-0.047,-0.043,0.005,-0.068,-0.045,-0.082,-0.014,-0.0,-0.042,-0.073,-0.029,-0.018,-0.07,-0.064,-0.025,-0.069
ctx-lh-K22a_1,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.027,-0.078,0.03,0.05,-0.022,-0.119,-0.03,-0.068,-0.008,-0.012,0.001,0.081,0.063,0.021,-0.029,-0.046,0.044,0.013,0.019,0.001,0.016,-0.081,-0.013,-0.045,-0.004,-0.003,0.01,0.041,0.047,0.017,0.038,-0.004,0.004,0.035,-0.032,-0.01,0.011,-0.01,0.0,0.011,-0.02,0.03,0.067,-0.035,0.008,-0.015,-0.038,-0.028,-0.099,-0.09,-0.07,0.053,-0.03,-0.094,0.0,-0.057,-0.031,-0.032,0.01,-0.026,0.063,-0.017,-0.034,-0.025,-0.062,0.028,0.027,-0.016,0.014,0.01
ctx-lh-K22a_2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.056,-0.06,-0.047,0.014,-0.111,-0.153,-0.104,-0.133,0.002,-0.063,-0.084,-0.055,-0.03,-0.062,-0.135,-0.067,-0.024,-0.04,-0.043,-0.084,-0.054,-0.145,-0.172,-0.15,-0.153,-0.065,-0.027,-0.007,-0.102,-0.082,0.013,-0.084,-0.107,-0.043,-0.055,-0.089,0.054,0.037,-0.006,-0.039,-0.076,-0.041,-0.068,-0.121,-0.115,-0.064,-0.088,-0.071,-0.087,-0.098,-0.066,-0.008,-0.083,-0.149,-0.084,-0.104,-0.101,-0.051,-0.022,-0.072,-0.043,-0.064,-0.111,-0.112,-0.114,-0.027,-0.026,-0.044,-0.021,-0.064
