,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-rh-IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.026,-0.006,0.041,0.048,0.014,-0.013,0.031,0.023,-0.049,-0.091,0.077,0.083,0.119,0.093,0.113,-0.069,0.055,0.064,0.044,0.07,0.017,0.005,-0.041,-0.039,0.044
ctx-rh-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,-0.04,-0.026,-0.024,-0.006,-0.047,-0.035,-0.057,-0.103,-0.105,-0.046,-0.025,-0.006,0.014,-0.015,-0.093,-0.019,-0.031,-0.057,-0.026,-0.043,-0.107,-0.102,-0.079,0.025
ctx-rh-LA1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.084,-0.107,-0.121,-0.031,-0.046,-0.075,0.102,0.008,-0.003,0.066,0.052,0.085,0.094,0.065,-0.001,-0.033,0.082,-0.012,-0.008,-0.054,-0.051,-0.082,-0.052,-0.075
ctx-rh-LA2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,-0.08,-0.086,0.021,-0.052,0.123,0.023,0.022,0.081,0.05,0.144,0.128,0.047,0.02,0.035,0.118,0.025,0.009,-0.041,-0.033,0.004,0.014,-0.089
ctx-rh-LC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,0.004,-0.004,-0.074,0.119,0.048,0.074,-0.019,-0.027,0.006,0.098,-0.019,0.037,0.054,0.087,0.012,-0.017,-0.05,-0.059,0.041,0.066,-0.069
ctx-rh-LC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.014,-0.009,-0.033,0.07,0.031,0.044,-0.071,-0.069,0.018,0.055,-0.072,0.032,-0.006,0.043,0.018,-0.034,-0.088,-0.033,0.017,0.047,-0.03
ctx-rh-LC3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061,0.046,0.161,0.092,0.081,0.088,0.077,0.1,0.121,0.086,0.028,0.063,0.133,0.085,0.051,0.063,0.058,0.085,0.111,-0.05
ctx-rh-LD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.004,-0.025,0.018,-0.048,-0.064,-0.031,0.068,0.003,-0.0,-0.015,-0.009,-0.089,-0.049,-0.05,-0.124,-0.104,-0.086,-0.115
ctx-rh-LE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.043,-0.022,0.001,-0.046,-0.069,-0.028,0.064,-0.026,0.03,-0.012,0.042,0.02,0.013,-0.026,-0.108,-0.006,-0.012,-0.045
ctx-rh-OA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.009,0.044,0.026,-0.02,0.038,0.081,0.038,0.099,-0.081,-0.071,-0.023,0.049,-0.047,-0.089,-0.171,-0.028
ctx-rh-OB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037,0.004,0.016,-0.031,0.031,0.023,-0.017,0.037,-0.049,-0.067,-0.023,-0.036,-0.117,-0.111,-0.15,-0.04
