,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-rh-CT1,,,,,,,,,,,,,,,,,0.074,-0.026,-0.012,0.044,-0.011,0.04,-0.03,-0.001,-0.021,0.012,0.019,0.0,-0.021,0.007
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,0.027,0.039,-0.016,0.029,0.04,0.014,0.081,-0.02,0.012,0.085,0.041,0.014,-0.08
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.043,-0.059,0.05,-0.013,0.049,0.024,0.026,0.049,-0.087,-0.016,0.059,0.031
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.028,0.042,0.104,-0.017,0.051,0.009,-0.052,0.003,-0.07,-0.029,-0.024
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.052,-0.121,-0.076,0.099,0.073,-0.01,-0.018,-0.011,0.005,0.078
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,-0.008,-0.007,0.113,0.02,0.016,0.051,-0.032,-0.077,-0.072
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.016,0.04,0.048,-0.008,0.09,0.069,-0.021,0.086
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.011,0.027,-0.023,0.035,-0.002,-0.002,-0.016
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,-0.022,0.0,0.045,0.142,-0.066
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.068,-0.014,0.065,0.083,-0.013
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.027,0.059,0.07,-0.092
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.09,-0.015,0.059
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-0.024
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.039
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
