,ctx-lh-FA,ctx-lh-FB,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FD,ctx-lh-FDdelta,ctx-lh-FDT,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FJK,ctx-lh-FLMN,ctx-lh-HA,ctx-lh-HB,ctx-lh-HC,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA1,ctx-lh-LA2,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LC3,ctx-lh-LD,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PA,ctx-lh-PB,ctx-lh-PC,ctx-lh-PD,ctx-lh-PE,ctx-lh-PF,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TC,ctx-lh-TD,ctx-lh-TE,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FD,ctx-rh-FDdelta,ctx-rh-FDT,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FJK,ctx-rh-FLMN,ctx-rh-HA,ctx-rh-HB,ctx-rh-HC,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA1,ctx-rh-LA2,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LC3,ctx-rh-LD,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PA,ctx-rh-PB,ctx-rh-PC,ctx-rh-PD,ctx-rh-PE,ctx-rh-PF,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TC,ctx-rh-TD,ctx-rh-TE,ctx-rh-TF,ctx-rh-TG
ctx-rh-FDT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,-0.013,0.034,-0.062,-0.073,-0.06,-0.076,-0.059,-0.046,0.047,0.034,0.114,0.05,0.057,0.009,-0.025,-0.144,-0.042,0.063,-0.069,-0.12,0.075,0.038,0.031,0.11,0.039,0.048,-0.006,0.131,0.018,-0.043,-0.026,-0.088,-0.05,0.023,-0.084
ctx-rh-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.035,-0.016,-0.115,-0.01,0.031,-0.174,0.021,0.009,0.117,0.019,0.025,-0.019,-0.096,-0.15,-0.042,-0.116,-0.103,0.138,0.067,0.086,0.015,-0.023,-0.085,0.09,0.034,0.004,-0.001,0.153,-0.011,0.078,0.017,-0.089,-0.003,0.054,-0.009
ctx-rh-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.019,-0.131,-0.052,-0.011,-0.12,0.012,0.031,0.083,0.061,0.007,-0.05,-0.078,-0.071,-0.033,-0.113,-0.094,0.097,0.054,0.059,-0.006,0.015,-0.057,0.076,-0.019,-0.015,0.044,0.144,0.012,0.065,0.007,-0.033,-0.004,0.074,-0.06
ctx-rh-FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.056,0.017,0.01,-0.079,0.014,0.064,0.074,0.027,0.09,0.037,0.029,-0.052,-0.083,-0.076,-0.071,0.079,0.101,0.118,-0.019,-0.013,-0.051,-0.0,-0.029,0.077,0.05,0.118,0.03,0.029,-0.001,-0.025,0.025,0.072,0.01
ctx-rh-FH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021,-0.02,-0.04,0.075,0.024,-0.048,-0.021,0.042,0.073,0.017,-0.0,0.032,-0.046,-0.098,0.007,-0.004,0.015,-0.026,-0.02,-0.117,-0.076,0.0,0.006,-0.037,0.044,0.048,-0.012,0.016,-0.021,-0.032,-0.002,0.031
ctx-rh-FJK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025,-0.006,0.013,-0.047,-0.058,-0.065,-0.004,0.0,0.014,0.013,0.011,-0.135,-0.013,0.007,0.001,0.007,-0.065,-0.079,-0.102,-0.038,-0.046,-0.091,0.025,-0.01,-0.039,-0.009,-0.015,-0.1,-0.069,-0.023,-0.032
ctx-rh-FLMN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.006,0.061,0.016,-0.028,-0.03,-0.002,-0.005,-0.01,-0.059,-0.075,-0.046,-0.092,0.051,0.029,0.074,0.024,0.043,-0.072,-0.024,-0.027,-0.049,0.002,0.04,0.093,0.111,0.062,-0.078,-0.001,0.033,0.092
ctx-rh-HA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.065,-0.061,-0.033,0.011,-0.007,-0.174,-0.095,-0.048,-0.039,-0.116,-0.097,0.006,-0.036,-0.101,0.029,0.02,-0.018,-0.006,-0.037,-0.09,-0.077,-0.029,-0.112,-0.013,-0.154,-0.045,-0.149,-0.121,-0.063
ctx-rh-HB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029,0.027,0.082,0.015,0.02,0.01,0.07,0.019,0.041,0.0,0.052,0.056,0.032,-0.017,0.002,0.037,0.061,0.011,-0.01,0.019,0.044,0.048,0.093,0.043,-0.067,0.037,0.014,0.069
ctx-rh-HC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.074,-0.005,0.031,-0.017,0.052,0.052,0.061,0.02,0.084,0.058,-0.003,0.005,0.042,0.042,0.079,0.018,-0.013,0.05,0.03,0.096,-0.019,0.04,-0.041,0.046,-0.006,0.025,0.039
ctx-rh-IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.051,0.017,-0.097,0.025,0.047,0.018,-0.069,0.036,0.078,-0.02,-0.015,0.025,0.038,0.064,0.097,0.05,-0.021,0.133,0.162,0.061,0.058,-0.011,-0.068,0.086,0.147,0.054
