,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-audiopsychic,,,,,,,,,,,,-0.049,-0.01,0.009,0.065,-0.002,0.05,0.028,0.047,0.04,-0.065,-0.114,-0.139,-0.041,-0.098,0.032,-0.103,-0.154,0.048,-0.046,0.018,0.058,-0.101,0.061
ctx-lh-audiosensory,,,,,,,,,,,,,-0.016,-0.026,-0.017,-0.075,-0.011,-0.036,0.064,0.05,-0.019,-0.08,-0.069,0.058,-0.032,-0.005,-0.011,-0.021,-0.058,-0.05,-0.071,-0.037,-0.104,0.028
ctx-lh-olfactory,,,,,,,,,,,,,,0.057,0.117,-0.044,0.046,0.026,0.033,-0.038,-0.052,-0.02,0.009,0.023,0.011,-0.018,0.025,-0.033,0.013,-0.067,0.052,0.081,-0.008,0.005
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.052,0.056,-0.085,0.034,0.146,-0.085,-0.162,-0.098,-0.081,-0.026,0.053,-0.05,0.126,0.066,-0.048,-0.011,-0.055,-0.014,0.021,-0.078
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.01,-0.044,-0.006,0.064,-0.0,-0.119,-0.046,-0.007,0.041,0.031,-0.076,0.107,0.1,0.006,0.049,-0.074,-0.073,0.008,-0.055
ctx-lh-limbicC,,,,,,,,,,,,,,,,,-0.254,0.142,0.133,-0.221,-0.188,-0.073,-0.081,-0.016,0.025,-0.092,0.098,0.006,-0.07,0.002,0.015,0.099,0.062,-0.188
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.028,-0.042,0.008,0.126,0.103,0.205,0.026,-0.028,-0.092,0.001,0.097,0.066,-0.003,-0.066,-0.009,-0.227,0.021
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.032,-0.07,-0.078,-0.035,-0.058,0.035,0.073,-0.045,-0.029,0.036,-0.073,0.07,0.023,-0.05,0.108,-0.07
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.099,0.009,0.031,-0.001,0.039,0.02,-0.037,-0.038,0.066,-0.019,0.025,0.099,-0.005,0.095,-0.134
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.069,0.042,0.089,-0.004,-0.032,-0.007,-0.047,0.018,0.079,-0.056,-0.063,0.008,-0.214,0.035
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.141,-0.104,-0.004,-0.105,0.069,-0.102,-0.149,0.029,-0.027,-0.124,-0.052,-0.152,0.132
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.219,-0.032,-0.139,0.036,-0.048,-0.128,0.002,0.05,-0.101,-0.044,-0.086,0.127
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.158,0.002,-0.075,-0.139,0.01,0.025,-0.032,0.042,-0.066,0.221
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.106,-0.094,0.058,0.005,0.113,-0.017,0.039,0.04,-0.032,0.067
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.123,-0.006,-0.137,-0.041,0.007,0.099,0.05,0.019,-0.039
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.04,-0.056,-0.038,0.01,-0.032,-0.015,-0.069,-0.054
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,0.023,0.071,0.025,0.01,0.043,-0.001
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.038,-0.073,0.068,0.066,-0.091,0.052
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.09,-0.04,-0.123,0.055
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,0.04,0.012,-0.085
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.064,-0.044,-0.058
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-0.039
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.187
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
