,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.024,-0.134,-0.031,-0.134,-0.12,-0.029,-0.095,-0.132,-0.105,-0.08,0.008,-0.004,-0.085,-0.005,-0.039,-0.007,-0.059,0.003,-0.131,-0.017
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.019,-0.082,-0.152,-0.158,-0.141,-0.161,-0.178,-0.159,-0.104,-0.005,-0.015,-0.139,-0.084,-0.101,-0.006,-0.099,-0.077,-0.065,-0.052
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.0,-0.201,-0.115,-0.023,-0.113,-0.133,-0.1,-0.03,-0.01,0.008,-0.054,-0.005,-0.016,-0.007,-0.057,-0.035,-0.063,0.036
ctx-lh-insula,,,,,,,,,,,,,,,,,,0.049,0.116,0.055,0.012,0.011,0.082,0.055,0.058,-0.048,0.016,0.025,-0.103,-0.122,0.038,0.025,-0.037,0.137
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.0,0.036,-0.027,-0.081,-0.036,0.024,0.048,0.03,-0.033,-0.016,-0.086,-0.059,-0.077,-0.007,-0.204,0.062
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,0.036,0.051,0.035,0.084,0.127,0.083,0.012,-0.033,0.017,-0.001,-0.081,-0.044,-0.038,-0.147,0.12
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.061,0.052,0.007,0.036,0.059,-0.023,-0.039,0.036,-0.078,-0.099,0.073,-0.012,-0.077,0.074
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,0.051,0.043,0.046,0.014,0.002,0.027,0.019,-0.064,-0.06,-0.002,-0.035,-0.115,0.029
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,0.105,0.103,0.025,-0.048,0.041,0.02,-0.059,0.017,-0.064,-0.085,-0.117,0.003
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,-0.015,0.005,0.017,0.02,-0.001,-0.033,-0.012,-0.004,-0.057,-0.083,0.028
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,0.004,-0.005,0.062,0.032,-0.022,-0.045,0.081,-0.097,-0.061,0.087
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.03,0.067,0.046,0.088,0.07,0.13,0.099,-0.054,0.079
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,-0.014,-0.03,0.014,0.09,0.062,-0.039,0.022
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054,0.031,-0.072,0.043,-0.032,-0.068,0.066
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058,-0.062,0.054,0.064,-0.043,0.045
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.063,-0.018,-0.022,-0.03,-0.049
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.027,-0.068,0.017,-0.078
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073,-0.072,0.048
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077,-0.032
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.06
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
