,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT4_dmpf,,,,,,,,,,,,0.001,0.096,-0.108,0.051,0.043,0.037,0.02,0.006,0.039,0.026,0.06,0.052,0.045,0.062,-0.015,0.006,-0.015,-0.036,0.063
ctx-lh-CT5_cen,,,,,,,,,,,,,0.019,-0.113,-0.045,0.062,-0.002,0.11,-0.006,-0.061,-0.092,0.071,-0.002,-0.035,-0.017,0.033,-0.037,-0.039,-0.083,-0.011
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.024,-0.025,-0.059,-0.037,0.117,-0.032,0.01,-0.056,0.083,0.018,0.044,0.117,0.119,0.029,-0.019,-0.061,-0.0
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.007,-0.106,-0.094,-0.012,-0.208,-0.082,-0.159,-0.096,-0.13,-0.054,0.041,-0.056,-0.098,-0.06,-0.12,0.025
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,-0.033,-0.017,0.072,-0.044,0.001,-0.027,-0.016,0.019,0.01,0.029,0.146,-0.019,-0.074,-0.041,-0.094
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.014,0.086,-0.053,-0.059,-0.074,0.013,0.006,-0.049,0.075,0.065,0.055,-0.11,-0.108,0.005
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.016,-0.052,-0.014,0.005,0.052,0.052,0.052,0.085,0.024,0.011,-0.027,-0.117,0.006
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,0.06,0.059,0.076,0.099,0.037,0.072,0.06,-0.002,0.109,0.087,-0.001,0.106
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.089,-0.063,0.045,0.11,-0.029,0.083,0.026,0.036,-0.091,-0.165,-0.025
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.041,0.0,0.057,0.053,0.048,0.035,0.004,0.029,-0.092,0.015
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,-0.006,-0.018,0.043,0.111,0.042,-0.049,-0.083,-0.154,-0.044
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,0.034,0.059,0.029,0.097,0.131,-0.003,-0.064,-0.035
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.062,0.06,0.073,0.034,-0.055,-0.135,-0.038
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,0.125,0.101,0.069,0.02,-0.052,0.041
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.186,0.041,0.094,0.018,0.048
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.055,0.034,-0.05,0.165
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,-0.061,0.004
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.048,-0.047
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
