,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-lh-limbicA,,,,,,,,,,,,,,,-0.029,-0.12,0.072,-0.123,0.05,0.048,-0.025,-0.024,-0.036,0.01,0.097,0.08,-0.036,0.004,-0.057,-0.085,-0.122,-0.03,-0.187,0.079
ctx-lh-limbicB,,,,,,,,,,,,,,,,-0.062,0.068,-0.018,0.017,0.057,-0.001,0.031,-0.023,0.008,0.027,0.0,0.014,0.055,0.032,-0.012,-0.009,0.003,-0.089,0.093
ctx-lh-limbicC,,,,,,,,,,,,,,,,,0.017,-0.11,0.015,-0.016,-0.051,-0.016,-0.029,-0.008,0.064,0.029,-0.057,0.005,-0.029,-0.083,-0.113,-0.035,-0.147,0.02
ctx-lh-insula,,,,,,,,,,,,,,,,,,-0.005,-0.049,-0.112,0.08,0.06,0.145,0.039,0.026,-0.036,-0.061,0.033,0.026,-0.045,0.038,0.059,0.021,-0.083
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,0.04,0.053,-0.034,-0.024,-0.064,-0.029,0.021,-0.002,-0.019,0.006,-0.068,-0.068,-0.056,-0.071,-0.099,0.03
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.006,0.039,0.055,0.038,0.048,0.04,0.007,-0.052,-0.01,-0.039,-0.069,0.105,0.015,0.021,-0.026
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.085,0.063,0.104,0.008,-0.029,-0.032,-0.032,0.017,-0.014,-0.041,0.065,0.054,0.016,-0.061
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,-0.114,-0.036,0.024,-0.054,0.004,-0.02,-0.12,-0.091,0.008,0.041,0.001,-0.026,0.107
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.098,0.025,-0.024,0.01,-0.02,-0.148,-0.127,-0.014,0.014,-0.006,-0.03,0.082
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,0.057,-0.059,0.008,-0.057,-0.103,-0.061,0.003,0.035,0.01,-0.022,0.153
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,0.007,0.028,-0.127,-0.066,0.004,-0.03,0.069,0.034,0.016,0.053
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,-0.085,-0.09,-0.001,-0.041,0.131,0.076,0.066,0.013
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.037,-0.044,-0.025,-0.022,0.109,0.028,0.048,-0.039
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052,-0.09,-0.052,0.033,0.012,-0.02,-0.026
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.188,-0.075,0.048,0.025,-0.013,0.038
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.069,-0.05,-0.025,-0.068,0.033
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089,-0.031,-0.052,-0.053
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032,-0.085,0.044
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.035,0.036
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
