,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-lh-CT4_dmpf,,,,,,,,,,,,-0.021,0.022,-0.054,-0.008,-0.044,-0.003,-0.07,-0.024,0.046,-0.051,0.008,0.002,0.015,0.008,-0.027,-0.064,0.059,0.011,-0.008
ctx-lh-CT5_cen,,,,,,,,,,,,,-0.017,-0.165,0.025,-0.104,-0.089,-0.083,-0.032,-0.183,0.076,0.13,0.235,0.081,-0.068,-0.099,-0.225,-0.095,-0.095,0.037
ctx-lh-CT5_ins,,,,,,,,,,,,,,-0.03,0.027,-0.058,-0.083,-0.123,0.024,-0.046,-0.056,-0.037,0.026,0.094,0.05,-0.118,-0.051,-0.218,0.001,0.049
ctx-lh-CT5_med,,,,,,,,,,,,,,,-0.063,-0.099,0.115,-0.003,-0.065,0.161,0.162,-0.069,-0.065,0.036,0.022,0.004,-0.143,0.013,-0.054,-0.071
ctx-lh-CT5_occ,,,,,,,,,,,,,,,,0.018,-0.042,-0.065,0.05,0.086,0.036,0.015,0.03,0.072,0.02,-0.016,-0.005,0.018,0.055,-0.057
ctx-rh-CT1,,,,,,,,,,,,,,,,,-0.135,-0.068,0.041,-0.14,0.032,0.019,0.125,0.074,-0.047,-0.058,-0.147,-0.242,-0.113,0.077
ctx-rh-CT1_2_fro_inf,,,,,,,,,,,,,,,,,,-0.007,-0.142,0.123,-0.096,-0.028,-0.004,0.004,0.022,-0.098,-0.038,0.012,0.037,0.04
ctx-rh-CT1_2_mof,,,,,,,,,,,,,,,,,,,-0.116,-0.02,-0.027,-0.095,-0.009,-0.046,-0.023,-0.022,0.006,0.027,-0.028,0.031
ctx-rh-CT1_2_pref_ins_postc,,,,,,,,,,,,,,,,,,,,-0.199,-0.005,-0.031,0.049,-0.014,-0.016,-0.125,-0.082,-0.133,-0.107,0.083
ctx-rh-CT1_2_temp,,,,,,,,,,,,,,,,,,,,,-0.146,-0.099,-0.081,-0.063,0.059,0.0,-0.11,0.135,0.058,0.104
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.018,0.036,-0.026,0.066,-0.042,0.071,-0.055,0.011,-0.007
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.027,0.011,-0.051,0.028,0.109,-0.092,-0.103,-0.028
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.037,0.061,0.038,0.268,-0.004,-0.063,0.01
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.128,-0.061,0.092,0.123,0.059,0.052
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,0.012,-0.076,0.126,0.067,0.048
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.053,-0.111,-0.043,-0.023
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.145,-0.051,-0.003
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.077,0.061
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
