,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-rh-FBA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.399,-0.179,-0.143,-0.262,-0.265,-0.101,-0.131,-0.096,-0.105,-0.006,0.045,-0.047,0.232,0.153,-0.187,-0.065,-0.225,-0.046,0.04,0.077,0.135,-0.127,-0.015,0.083,0.071,0.067,0.029,-0.078,0.029,0.004,0.133,-0.16,-0.014,-0.171,-0.089
ctx-rh-FC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.194,-0.059,-0.054,-0.33,-0.039,-0.089,-0.057,-0.105,-0.007,0.033,-0.188,-0.136,-0.297,-0.208,-0.062,-0.076,0.05,-0.111,-0.113,-0.236,-0.173,-0.329,0.057,0.266,-0.14,-0.275,0.27,-0.241,-0.174,0.063,-0.045,0.008,-0.315,-0.113
ctx-rh-FCBm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.054,-0.108,-0.13,-0.131,-0.115,0.065,-0.262,-0.064,-0.016,-0.189,0.245,-0.01,-0.121,-0.118,-0.335,0.021,-0.08,-0.041,-0.064,-0.052,-0.147,0.226,0.178,0.062,-0.083,-0.061,-0.045,-0.052,0.03,-0.078,0.024,-0.165,-0.278
ctx-rh-FDdelta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021,-0.092,0.072,-0.196,0.082,0.165,0.036,0.06,-0.27,0.114,-0.175,0.06,-0.167,-0.202,-0.017,-0.038,-0.074,-0.05,-0.277,-0.401,-0.149,0.043,0.015,-0.254,0.052,-0.033,0.01,0.109,0.018,0.114,-0.287,-0.234
ctx-rh-FDL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.075,-0.081,-0.093,0.15,-0.239,-0.096,-0.193,-0.058,-0.103,-0.209,-0.032,-0.005,-0.124,0.058,0.001,-0.129,-0.215,-0.224,-0.237,0.144,0.255,-0.049,-0.222,0.217,-0.0,-0.041,0.033,0.143,0.048,-0.166,0.038
ctx-rh-FDm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.093,-0.185,-0.024,-0.116,0.086,0.109,-0.126,-0.03,-0.272,-0.084,-0.028,-0.115,0.02,-0.022,-0.058,-0.102,-0.288,-0.333,0.02,0.188,-0.126,-0.269,0.157,-0.045,-0.103,-0.064,-0.02,0.075,-0.198,-0.178
ctx-rh-FDp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.349,0.024,-0.031,0.041,0.094,-0.116,0.041,-0.165,-0.128,-0.158,-0.155,-0.017,-0.127,-0.137,-0.209,-0.133,-0.344,-0.114,0.011,-0.07,-0.269,-0.049,-0.094,-0.084,-0.062,-0.059,0.049,-0.306,-0.232
ctx-rh-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.193,-0.085,-0.233,-0.065,-0.01,-0.045,-0.192,-0.032,-0.027,-0.015,-0.033,-0.23,-0.233,-0.299,-0.249,-0.357,-0.216,0.008,-0.195,-0.197,0.098,-0.261,-0.155,-0.026,0.045,-0.182,-0.332,-0.112
ctx-rh-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.052,-0.127,0.164,-0.117,0.047,-0.203,-0.129,-0.083,-0.151,-0.007,-0.142,-0.134,-0.098,-0.292,-0.391,-0.216,-0.073,-0.232,-0.266,-0.046,-0.284,-0.084,-0.155,-0.048,-0.236,-0.244,-0.169
ctx-rh-FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.099,0.27,0.249,-0.177,-0.15,-0.09,0.03,0.097,-0.095,-0.117,-0.071,-0.109,0.005,-0.201,-0.119,0.009,-0.376,-0.093,-0.099,-0.279,-0.133,-0.059,-0.278,-0.241,-0.064,-0.216
