,ctx-lh-F2,ctx-lh-F3,ctx-lh-F4,ctx-lh-F5,ctx-lh-F6,ctx-lh-F7,ctx-lh-F8,ctx-lh-F9,ctx-lh-F10,ctx-lh-F10x,ctx-lh-F11,ctx-lh-F12,ctx-lh-F13,ctx-lh-F14,ctx-lh-F15,ctx-lh-F16,ctx-lh-F17,ctx-lh-F18,ctx-lh-F19,ctx-lh-F20,ctx-lh-F21,ctx-lh-F22,ctx-lh-F23,ctx-lh-F24,ctx-lh-F25,ctx-lh-F26,ctx-lh-F27,ctx-lh-F28,ctx-lh-F29,ctx-lh-F30,ctx-lh-F31,ctx-lh-F32,ctx-lh-F33,ctx-lh-F34,ctx-lh-F35,ctx-lh-F36,ctx-lh-F37,ctx-lh-F38,ctx-lh-F39,ctx-lh-F40,ctx-lh-F41,ctx-lh-F42,ctx-lh-F43,ctx-lh-F44,ctx-lh-F45,ctx-lh-F2b,ctx-rh-F2,ctx-rh-F3,ctx-rh-F4,ctx-rh-F5,ctx-rh-F6,ctx-rh-F7,ctx-rh-F8,ctx-rh-F9,ctx-rh-F10,ctx-rh-F10x,ctx-rh-F11,ctx-rh-F12,ctx-rh-F13,ctx-rh-F14,ctx-rh-F15,ctx-rh-F16,ctx-rh-F17,ctx-rh-F18,ctx-rh-F19,ctx-rh-F20,ctx-rh-F21,ctx-rh-F22,ctx-rh-F23,ctx-rh-F24,ctx-rh-F25,ctx-rh-F26,ctx-rh-F27,ctx-rh-F28,ctx-rh-F29,ctx-rh-F30,ctx-rh-F31,ctx-rh-F32,ctx-rh-F33,ctx-rh-F34,ctx-rh-F35,ctx-rh-F36,ctx-rh-F37,ctx-rh-F38,ctx-rh-F39,ctx-rh-F40,ctx-rh-F41,ctx-rh-F42,ctx-rh-F43,ctx-rh-F44,ctx-rh-F45,ctx-rh-F2b
ctx-rh-F2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001,0.012,0.007,0.005,-0.009,-0.04,0.012,-0.0,-0.031,0.004,-0.041,0.068,-0.02,-0.028,-0.022,-0.002,-0.027,-0.026,-0.062,-0.038,0.007,-0.028,-0.036,-0.045,0.007,0.006,-0.012,-0.007,-0.005,-0.022,-0.03,-0.034,-0.057,-0.039,-0.043,-0.038,-0.014,0.027,-0.055,0.004,-0.009,-0.037,-0.009,-0.025,-0.037
ctx-rh-F3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.018,-0.032,-0.081,0.003,0.06,-0.021,-0.076,-0.089,0.013,0.064,0.007,0.038,-0.002,-0.068,0.022,-0.104,-0.143,0.143,0.081,-0.006,-0.005,0.086,0.105,0.03,-0.023,-0.018,0.091,0.123,-0.003,0.013,-0.045,-0.045,0.026,0.008,0.05,0.03,-0.049,0.086,-0.027,0.027,-0.063,-0.024,0.038,-0.081
ctx-rh-F4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02,-0.035,0.014,0.031,-0.012,-0.009,-0.022,0.043,0.063,0.024,0.01,-0.025,-0.052,0.001,-0.08,-0.126,0.123,0.054,0.028,-0.021,0.061,0.07,0.083,-0.035,-0.061,0.047,0.11,-0.051,0.001,-0.062,-0.03,0.014,-0.01,0.056,0.016,-0.063,0.112,-0.025,0.031,-0.057,-0.032,0.031,-0.104
ctx-rh-F5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,0.016,-0.009,-0.059,-0.035,-0.072,-0.015,-0.084,-0.018,-0.071,-0.041,-0.033,0.031,-0.123,-0.122,-0.1,-0.084,-0.006,-0.029,-0.022,-0.058,0.007,-0.079,-0.032,0.044,-0.026,-0.015,-0.049,-0.098,-0.006,-0.048,-0.103,-0.029,-0.049,-0.119,-0.086,-0.07,-0.059,-0.048,-0.024,-0.017,-0.018
ctx-rh-F6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,-0.018,-0.008,-0.051,-0.106,-0.024,0.038,0.031,0.045,-0.032,-0.036,0.002,-0.052,-0.143,0.04,0.016,-0.02,-0.02,0.068,0.055,-0.035,-0.033,-0.03,0.058,0.063,-0.018,0.002,-0.075,-0.004,0.042,0.0,0.001,0.014,-0.063,0.042,-0.045,0.04,-0.04,0.034,0.041,-0.025
ctx-rh-F7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.016,0.045,-0.011,-0.068,-0.063,0.029,0.066,0.028,-0.007,-0.001,-0.023,0.01,-0.059,0.021,-0.004,0.018,-0.006,0.036,-0.012,-0.087,-0.04,-0.024,0.045,0.019,-0.052,0.01,-0.038,0.049,-0.001,0.013,-0.076,0.014,-0.098,0.032,0.002,0.034,0.042,0.066,0.041,-0.032
ctx-rh-F8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07,-0.026,-0.113,-0.009,0.027,-0.032,-0.083,0.095,-0.027,0.038,-0.008,-0.034,-0.022,-0.014,0.025,0.055,-0.01,-0.091,-0.062,-0.043,0.003,0.067,-0.09,-0.074,0.015,0.002,0.002,-0.07,-0.022,-0.024,-0.012,-0.065,-0.064,0.088,0.083,0.037,0.014,-0.027,-0.016
ctx-rh-F9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,-0.053,-0.038,-0.091,-0.109,0.026,0.098,0.033,0.051,-0.02,0.045,-0.071,-0.057,0.004,0.071,0.06,0.062,-0.002,0.065,0.08,0.011,0.053,0.048,0.096,-0.088,-0.043,0.095,-0.095,0.089,-0.0,0.051,-0.033,-0.116,0.031,-0.169,-0.072,0.007,-0.014
ctx-rh-F10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.101,-0.035,-0.024,0.006,0.006,0.003,-0.008,0.027,-0.058,-0.149,-0.03,-0.009,-0.037,0.002,0.053,-0.014,-0.057,-0.07,0.025,0.055,0.027,-0.034,0.029,-0.072,0.02,-0.013,-0.007,-0.033,0.012,-0.116,0.014,-0.033,-0.002,-0.041,0.028,0.011,-0.017
ctx-rh-F10x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.044,-0.062,-0.005,-0.007,-0.053,-0.075,-0.045,-0.069,-0.157,-0.031,-0.043,-0.046,-0.087,0.012,-0.016,-0.06,-0.086,-0.089,-0.001,0.01,-0.094,-0.035,-0.095,-0.019,-0.016,-0.016,-0.083,-0.034,-0.12,0.005,-0.066,-0.027,-0.068,-0.024,-0.003,-0.048
