,ctx-lh-CT1,ctx-lh-CT1_2_fro_inf,ctx-lh-CT1_2_mof,ctx-lh-CT1_2_pref_ins_postc,ctx-lh-CT1_2_temp,ctx-lh-CT2_fro,ctx-lh-CT2_par,ctx-lh-CT3_fro,ctx-lh-CT3_par,ctx-lh-CT4_occ,ctx-lh-CT4_dmpf,ctx-lh-CT5_cen,ctx-lh-CT5_ins,ctx-lh-CT5_med,ctx-lh-CT5_occ,ctx-rh-CT1,ctx-rh-CT1_2_fro_inf,ctx-rh-CT1_2_mof,ctx-rh-CT1_2_pref_ins_postc,ctx-rh-CT1_2_temp,ctx-rh-CT2_fro,ctx-rh-CT2_par,ctx-rh-CT3_fro,ctx-rh-CT3_par,ctx-rh-CT4_occ,ctx-rh-CT4_dmpf,ctx-rh-CT5_cen,ctx-rh-CT5_ins,ctx-rh-CT5_med,ctx-rh-CT5_occ
ctx-rh-CT2_fro,,,,,,,,,,,,,,,,,,,,,,0.215,-0.049,0.192,-0.073,-0.023,0.07,0.062,0.095,-0.304
ctx-rh-CT2_par,,,,,,,,,,,,,,,,,,,,,,,-0.03,0.171,-0.021,-0.081,-0.091,0.047,0.292,0.109
ctx-rh-CT3_fro,,,,,,,,,,,,,,,,,,,,,,,,0.049,-0.041,0.239,0.138,0.097,-0.116,-0.144
ctx-rh-CT3_par,,,,,,,,,,,,,,,,,,,,,,,,,-0.129,-0.145,-0.062,-0.083,-0.042,-0.018
ctx-rh-CT4_occ,,,,,,,,,,,,,,,,,,,,,,,,,,-0.149,-0.166,0.157,0.186,0.271
ctx-rh-CT4_dmpf,,,,,,,,,,,,,,,,,,,,,,,,,,,0.019,-0.039,0.022,0.073
ctx-rh-CT5_cen,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.171,-0.252,-0.248
ctx-rh-CT5_ins,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.213,-0.152
ctx-rh-CT5_med,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073
ctx-rh-CT5_occ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
