,ctx-lh-BA1_3,ctx-lh-BA2,ctx-lh-BA4,ctx-lh-BA5,ctx-lh-BA6,ctx-lh-BA7,ctx-lh-BA8,ctx-lh-BA9,ctx-lh-BA10,ctx-lh-BA11,ctx-lh-BA13,ctx-lh-BA16,ctx-lh-BA17,ctx-lh-BA18,ctx-lh-BA19,ctx-lh-BA20,ctx-lh-BA21,ctx-lh-BA22,ctx-lh-BA23,ctx-lh-BA24,ctx-lh-BA25,ctx-lh-BA26_29_30,ctx-lh-BA27,ctx-lh-BA28,ctx-lh-BA31,ctx-lh-BA32,ctx-lh-BA33,ctx-lh-BA34,ctx-lh-BA35_36,ctx-lh-BA37,ctx-lh-BA38,ctx-lh-BA39,ctx-lh-BA40,ctx-lh-BA41_42_52,ctx-lh-BA43,ctx-lh-BA44,ctx-lh-BA45,ctx-lh-BA46,ctx-lh-BA47,ctx-rh-BA1_3,ctx-rh-BA2,ctx-rh-BA4,ctx-rh-BA5,ctx-rh-BA6,ctx-rh-BA7,ctx-rh-BA8,ctx-rh-BA9,ctx-rh-BA10,ctx-rh-BA11,ctx-rh-BA13,ctx-rh-BA16,ctx-rh-BA17,ctx-rh-BA18,ctx-rh-BA19,ctx-rh-BA20,ctx-rh-BA21,ctx-rh-BA22,ctx-rh-BA23,ctx-rh-BA24,ctx-rh-BA25,ctx-rh-BA26_29_30,ctx-rh-BA27,ctx-rh-BA28,ctx-rh-BA31,ctx-rh-BA32,ctx-rh-BA33,ctx-rh-BA34,ctx-rh-BA35_36,ctx-rh-BA37,ctx-rh-BA38,ctx-rh-BA39,ctx-rh-BA40,ctx-rh-BA41_42_52,ctx-rh-BA43,ctx-rh-BA44,ctx-rh-BA45,ctx-rh-BA46,ctx-rh-BA47
ctx-lh-BA27,,,,,,,,,,,,,,,,,,,,,,,,-0.117,0.002,-0.079,0.096,0.027,-0.205,-0.149,-0.176,0.043,-0.092,-0.125,-0.175,-0.137,-0.062,0.066,-0.035,-0.065,-0.106,-0.074,-0.194,-0.13,-0.203,0.069,0.036,0.094,-0.02,-0.128,-0.098,0.017,-0.05,-0.121,-0.027,-0.011,-0.058,-0.005,-0.053,-0.064,0.024,-0.177,-0.149,0.025,-0.037,0.137,-0.046,-0.176,-0.171,-0.094,0.038,-0.13,-0.201,-0.149,-0.145,-0.003,0.039,0.037
ctx-lh-BA28,,,,,,,,,,,,,,,,,,,,,,,,,-0.057,-0.082,0.038,-0.027,-0.085,-0.175,-0.116,-0.068,-0.131,-0.148,-0.266,-0.131,-0.089,0.026,-0.011,-0.176,-0.185,-0.155,-0.216,-0.208,-0.18,0.083,-0.002,0.062,0.159,-0.212,-0.057,0.034,-0.05,-0.106,0.038,-0.036,-0.111,-0.076,-0.065,0.003,-0.006,-0.294,-0.207,-0.016,-0.025,0.075,0.03,-0.071,-0.169,-0.116,-0.024,-0.178,-0.257,-0.208,-0.121,-0.044,0.071,0.075
ctx-lh-BA31,,,,,,,,,,,,,,,,,,,,,,,,,,-0.075,0.001,0.051,-0.11,-0.05,-0.174,0.029,-0.006,-0.057,-0.157,-0.023,-0.06,0.071,-0.03,-0.116,-0.09,-0.088,-0.061,-0.061,-0.041,0.062,0.101,0.159,0.147,-0.113,-0.048,-0.07,-0.09,-0.072,0.114,0.08,0.001,0.057,0.071,-0.152,-0.017,-0.084,-0.087,0.156,0.015,0.084,-0.054,-0.135,-0.081,-0.072,0.074,0.013,-0.06,-0.151,-0.003,0.04,0.097,0.147
ctx-lh-BA32,,,,,,,,,,,,,,,,,,,,,,,,,,,0.004,-0.077,-0.027,-0.035,-0.14,-0.007,-0.052,-0.109,-0.177,-0.106,-0.017,0.066,0.045,-0.191,-0.113,-0.131,-0.077,-0.127,-0.132,-0.118,-0.13,-0.022,0.102,-0.146,-0.13,-0.053,-0.096,-0.053,0.058,-0.113,-0.07,-0.099,0.002,-0.111,-0.13,-0.135,-0.167,-0.166,-0.098,0.015,-0.162,-0.134,-0.115,0.008,-0.099,-0.112,-0.122,-0.251,-0.141,-0.116,-0.069,-0.008
ctx-lh-BA33,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.102,0.027,0.035,-0.102,0.048,0.042,-0.005,-0.095,-0.032,-0.014,-0.026,-0.033,-0.157,-0.024,-0.002,0.013,0.006,-0.054,-0.099,-0.047,-0.029,0.116,-0.169,-0.065,-0.127,-0.113,0.001,0.041,-0.061,0.008,-0.068,-0.003,-0.084,-0.047,-0.097,-0.008,-0.108,-0.078,0.028,-0.147,-0.089,-0.085,0.006,-0.074,-0.028,0.019,-0.132,-0.064,-0.044,-0.117,-0.037
ctx-lh-BA34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.036,0.064,-0.024,0.04,0.039,-0.07,-0.093,0.009,0.003,0.021,0.014,-0.148,-0.087,-0.195,-0.089,-0.055,-0.028,0.105,-0.019,0.096,0.023,-0.099,-0.113,0.093,0.019,0.004,-0.081,-0.108,-0.045,0.052,0.032,0.014,-0.028,-0.03,-0.08,0.088,0.096,0.028,0.045,-0.035,0.019,-0.045,0.026,0.031,-0.063,-0.055,-0.033,-0.036,0.08,0.049
ctx-lh-BA35_36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.174,-0.07,-0.225,-0.085,0.014,-0.125,-0.091,-0.052,-0.048,0.053,-0.147,-0.066,-0.046,-0.063,-0.086,-0.194,-0.002,-0.038,0.089,0.119,-0.043,0.137,0.114,-0.044,-0.09,0.004,-0.107,-0.175,-0.197,0.066,0.031,-0.112,-0.228,-0.256,-0.114,0.001,0.046,-0.022,-0.073,-0.165,-0.135,-0.192,-0.038,-0.126,-0.106,-0.022,-0.036,0.028,0.094
ctx-lh-BA37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.265,-0.12,0.083,0.057,-0.051,-0.004,-0.066,-0.012,0.034,-0.164,-0.122,-0.071,-0.039,0.013,-0.106,0.029,-0.001,0.169,0.09,0.044,0.155,0.206,-0.021,-0.093,0.016,-0.074,-0.154,-0.092,0.122,-0.138,-0.071,-0.159,-0.2,-0.004,0.058,0.211,-0.219,-0.233,-0.147,-0.198,-0.144,0.076,-0.107,-0.129,0.087,-0.029,0.127,0.169
ctx-lh-BA38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.171,-0.17,-0.271,-0.176,-0.165,-0.082,-0.078,-0.051,-0.153,-0.084,-0.067,-0.122,-0.163,-0.28,-0.01,-0.098,-0.031,0.029,-0.196,-0.1,-0.069,-0.24,-0.253,0.075,-0.124,-0.319,-0.182,-0.15,-0.012,-0.142,-0.186,-0.27,-0.158,-0.126,-0.091,-0.004,-0.091,-0.248,-0.264,-0.187,-0.148,-0.251,-0.1,-0.125,-0.118,-0.074,-0.078
ctx-lh-BA39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.024,-0.034,-0.105,-0.033,-0.068,0.114,0.039,-0.134,-0.139,-0.082,-0.082,-0.116,-0.05,0.072,0.127,0.186,0.194,-0.145,-0.055,0.06,-0.063,-0.069,0.181,0.091,-0.076,0.056,0.052,-0.062,0.074,-0.074,-0.179,0.161,0.068,0.151,-0.085,-0.209,-0.11,-0.053,0.054,-0.02,-0.139,-0.137,-0.008,-0.017,0.084,0.175
