,ctx-lh-prefrontal,ctx-lh-frontal,ctx-lh-inter_precentral,ctx-lh-precentral,ctx-lh-postcentral,ctx-lh-inter_postcentral,ctx-lh-parietal,ctx-lh-visuopsychic,ctx-lh-visuosensory,ctx-lh-temporal,ctx-lh-audiopsychic,ctx-lh-audiosensory,ctx-lh-olfactory,ctx-lh-limbicA,ctx-lh-limbicB,ctx-lh-limbicC,ctx-lh-insula,ctx-rh-prefrontal,ctx-rh-frontal,ctx-rh-inter_precentral,ctx-rh-precentral,ctx-rh-postcentral,ctx-rh-inter_postcentral,ctx-rh-parietal,ctx-rh-visuopsychic,ctx-rh-visuosensory,ctx-rh-temporal,ctx-rh-audiopsychic,ctx-rh-audiosensory,ctx-rh-olfactory,ctx-rh-limbicA,ctx-rh-limbicB,ctx-rh-limbicC,ctx-rh-insula
ctx-rh-prefrontal,,,,,,,,,,,,,,,,,,,-0.009,-0.038,-0.13,-0.122,-0.095,-0.009,0.107,0.067,-0.126,-0.099,-0.147,0.03,-0.003,-0.122,0.094,-0.032
ctx-rh-frontal,,,,,,,,,,,,,,,,,,,,-0.108,-0.081,-0.099,-0.003,0.208,0.22,0.112,-0.026,0.029,-0.229,0.13,-0.144,-0.246,0.094,-0.148
ctx-rh-inter_precentral,,,,,,,,,,,,,,,,,,,,,0.08,0.116,0.132,0.099,0.034,0.024,0.011,0.19,0.113,0.124,-0.113,-0.035,-0.105,0.082
ctx-rh-precentral,,,,,,,,,,,,,,,,,,,,,,0.056,-0.066,-0.014,-0.16,-0.004,0.021,0.042,0.172,0.096,-0.102,0.016,-0.094,0.156
ctx-rh-postcentral,,,,,,,,,,,,,,,,,,,,,,,-0.061,-0.036,-0.163,0.005,0.037,-0.037,0.083,0.058,-0.127,-0.007,-0.109,0.133
ctx-rh-inter_postcentral,,,,,,,,,,,,,,,,,,,,,,,,0.028,-0.179,0.047,0.047,-0.03,0.151,0.045,-0.008,0.106,-0.158,0.241
ctx-rh-parietal,,,,,,,,,,,,,,,,,,,,,,,,,-0.129,-0.119,0.066,0.085,0.132,-0.129,0.061,0.137,-0.22,0.088
ctx-rh-visuopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,0.121,-0.001,-0.091,0.025,-0.139,0.246,0.295,-0.009,0.04
ctx-rh-visuosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,0.032,0.015,-0.016,-0.111,0.05,0.136,-0.046,-0.045
ctx-rh-temporal,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.162,0.02,0.037,0.078,0.042,0.055,-0.017
ctx-rh-audiopsychic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.06,0.06,0.095,0.101,-0.033,0.198
ctx-rh-audiosensory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,-0.111,-0.041,-0.063,0.073
ctx-rh-olfactory,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.005,0.061,-0.027,-0.015
ctx-rh-limbicA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.121,0.054,-0.167
ctx-rh-limbicB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.119,-0.104
ctx-rh-limbicC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.181
ctx-rh-insula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
