,ctx-lh-K1_3a_3b,ctx-lh-K2,ctx-lh-K4,ctx-lh-K5,ctx-lh-K6aa,ctx-lh-K6ab_1,ctx-lh-K6ab_2,ctx-lh-K7,ctx-lh-K8_1,ctx-lh-K8_2,ctx-lh-K9,ctx-lh-K10,ctx-lh-K11_12,ctx-lh-K13,ctx-lh-K16,ctx-lh-K17_1,ctx-lh-K17_2,ctx-lh-K17_3,ctx-lh-K18_1,ctx-lh-K18_2,ctx-lh-K18_3,ctx-lh-K19_1,ctx-lh-K19_2,ctx-lh-K19_3,ctx-lh-K20,ctx-lh-K21,ctx-lh-K22a_1,ctx-lh-K22a_2,ctx-lh-K22b_1,ctx-lh-K22b_2,ctx-lh-K23_24_26_29_30_31_32_33,ctx-lh-K25,ctx-lh-K27,ctx-lh-K28_34,ctx-lh-K35_36,ctx-lh-K37,ctx-lh-K38,ctx-lh-K39_1,ctx-lh-K39_40,ctx-lh-K40_1,ctx-lh-K40_2,ctx-lh-K40_3,ctx-lh-K41_42_52,ctx-lh-K43,ctx-lh-K44a,ctx-lh-K44b,ctx-lh-K45,ctx-lh-K46,ctx-lh-K47,ctx-rh-K1_3a_3b,ctx-rh-K2,ctx-rh-K4,ctx-rh-K5,ctx-rh-K6aa,ctx-rh-K6ab_1,ctx-rh-K6ab_2,ctx-rh-K7,ctx-rh-K8_1,ctx-rh-K8_2,ctx-rh-K9,ctx-rh-K10,ctx-rh-K11_12,ctx-rh-K13,ctx-rh-K16,ctx-rh-K17_1,ctx-rh-K17_2,ctx-rh-K17_3,ctx-rh-K18_1,ctx-rh-K18_2,ctx-rh-K18_3,ctx-rh-K19_1,ctx-rh-K19_2,ctx-rh-K19_3,ctx-rh-K20,ctx-rh-K21,ctx-rh-K22a_1,ctx-rh-K22a_2,ctx-rh-K22b_1,ctx-rh-K22b_2,ctx-rh-K23_24_26_29_30_31_32_33,ctx-rh-K25,ctx-rh-K27,ctx-rh-K28_34,ctx-rh-K35_36,ctx-rh-K37,ctx-rh-K38,ctx-rh-K39_1,ctx-rh-K39_40,ctx-rh-K40_1,ctx-rh-K40_2,ctx-rh-K40_3,ctx-rh-K41_42_52,ctx-rh-K43,ctx-rh-K44a,ctx-rh-K44b,ctx-rh-K45,ctx-rh-K46,ctx-rh-K47
ctx-lh-K44a,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.013,-0.04,-0.085,0.057,0.006,0.051,0.019,0.027,-0.046,0.016,0.025,0.063,0.133,0.097,0.165,0.145,0.032,0.024,-0.058,0.042,-0.022,-0.085,0.116,0.002,-0.027,0.166,0.024,0.082,-0.009,0.019,0.069,0.004,0.064,0.091,0.071,-0.009,-0.143,-0.062,0.081,0.089,-0.021,0.098,0.199,0.091,0.002,0.014,-0.073,-0.045,0.03,0.138,0.056,0.096,0.089
ctx-lh-K44b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.071,0.013,-0.005,-0.03,0.025,-0.017,0.014,-0.082,-0.109,-0.038,-0.026,0.034,0.055,0.136,0.139,0.059,0.009,-0.126,-0.003,-0.044,-0.024,0.061,-0.079,-0.091,0.057,-0.072,-0.012,-0.065,-0.064,-0.032,-0.09,-0.071,-0.017,-0.009,-0.046,-0.212,-0.2,-0.003,-0.022,-0.145,0.036,-0.003,0.063,-0.034,-0.014,-0.094,-0.064,-0.095,0.033,-0.099,0.098,0.029
ctx-lh-K45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.034,0.009,-0.073,0.042,-0.039,0.023,-0.046,-0.084,-0.057,0.019,0.024,0.109,0.124,0.162,0.029,0.04,-0.084,-0.037,-0.045,-0.045,0.074,-0.053,-0.044,0.083,-0.015,0.007,-0.059,-0.051,0.051,-0.037,-0.049,0.045,0.072,-0.021,-0.179,-0.065,0.074,0.006,-0.096,0.025,0.042,0.078,-0.009,0.013,-0.099,-0.036,-0.011,-0.014,-0.03,0.11,0.114
ctx-lh-K46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,0.028,0.059,0.023,-0.0,-0.083,-0.107,-0.143,0.014,0.036,-0.072,0.123,0.109,0.163,-0.018,-0.085,-0.03,-0.033,-0.029,0.113,-0.028,-0.003,0.145,0.079,0.061,0.014,0.027,0.005,-0.003,-0.056,-0.01,0.081,0.1,-0.081,0.04,0.107,0.084,-0.01,-0.008,0.04,-0.118,-0.076,-0.073,-0.058,-0.038,-0.111,0.035,0.039,0.025,0.123
ctx-lh-K47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.009,-0.016,0.009,0.004,0.034,-0.022,0.007,0.049,-0.039,-0.013,0.023,0.045,0.044,0.099,0.031,0.016,0.069,0.064,0.147,0.027,0.027,0.162,0.109,0.076,0.004,-0.005,0.056,-0.012,-0.02,-0.034,0.008,-0.022,-0.077,0.044,0.166,0.116,-0.012,0.059,0.006,-0.015,-0.003,0.06,-0.04,0.04,-0.009,0.002,0.033,0.108,0.11
ctx-rh-K1_3a_3b,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,-0.03,0.016,0.005,0.003,0.13,0.099,-0.028,0.086,-0.018,-0.043,-0.053,0.046,-0.039,0.023,-0.04,-0.026,0.033,-0.029,-0.047,0.081,-0.047,0.002,0.021,-0.047,0.042,0.032,-0.042,0.02,-0.066,-0.071,-0.121,0.041,0.113,0.098,0.003,0.104,0.025,0.107,-0.058,0.04,-0.078,-0.084,0.057,0.002,-0.0,0.091,-0.028
ctx-rh-K2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.007,0.013,-0.105,-0.039,0.038,0.006,0.015,0.048,0.037,-0.012,-0.109,0.005,-0.037,0.088,-0.104,-0.031,0.063,-0.05,-0.074,-0.003,-0.072,-0.035,-0.03,-0.067,0.05,-0.048,-0.023,0.029,-0.056,-0.101,-0.112,0.018,0.055,0.02,-0.058,0.106,0.025,0.048,-0.107,-0.024,-0.048,-0.089,0.056,0.084,0.09,0.129,-0.032
ctx-rh-K4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.073,0.016,0.035,0.123,0.042,-0.039,0.058,-0.003,-0.027,-0.009,0.01,-0.061,0.06,-0.044,-0.018,0.046,-0.007,-0.037,0.029,-0.036,-0.038,-0.028,-0.04,0.024,0.007,-0.018,0.037,-0.017,-0.007,-0.155,-0.027,0.081,0.029,0.013,0.117,0.015,0.026,-0.088,0.002,-0.066,-0.063,0.051,0.031,-0.011,0.066,-0.028
ctx-rh-K5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.055,0.069,0.085,0.081,0.093,0.043,-0.063,-0.039,-0.042,-0.061,0.107,-0.017,-0.028,0.074,0.029,-0.012,0.086,0.06,0.025,0.012,0.062,-0.0,0.002,0.067,0.057,0.039,0.012,0.007,0.083,0.112,0.064,0.07,0.145,0.135,0.018,-0.012,-0.003,0.03,-0.018,0.038,0.085,0.056,0.058,0.03
ctx-rh-K6aa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.034,0.021,-0.057,-0.029,-0.013,0.014,-0.004,0.016,0.059,-0.031,0.019,-0.04,-0.043,0.034,-0.045,-0.078,0.056,-0.027,-0.037,0.012,-0.082,0.05,-0.074,-0.067,-0.033,-0.033,0.006,-0.158,-0.042,0.079,-0.025,-0.06,0.019,-0.003,-0.064,-0.187,-0.085,-0.02,-0.014,0.068,0.023,-0.007,0.004,-0.027
