,ctx-lh-callosA,ctx-lh-callosB,ctx-lh-callosC,ctx-lh-callosD,ctx-lh-froB,ctx-lh-froC,ctx-lh-froD,ctx-lh-froinf,ctx-lh-froint,ctx-lh-frointB,ctx-lh-froorb,ctx-lh-froprefro,ctx-lh-frosup,ctx-lh-frosupant,ctx-lh-insinf,ctx-lh-inspostc,ctx-lh-insprec,ctx-lh-occpar,ctx-lh-occparastr,ctx-lh-occperistr,ctx-lh-occstr,ctx-lh-occtemp,ctx-lh-paradent,ctx-lh-paraspl,ctx-lh-parinfA,ctx-lh-parinfB,ctx-lh-parinfC,ctx-lh-vis-sen-bnd,ctx-lh-parsupA,ctx-lh-parsupB,ctx-lh-postcentA,ctx-lh-postcentB,ctx-lh-precentA,ctx-lh-precentB,ctx-lh-pyriform,ctx-lh-tempinf,ctx-lh-tempmed,ctx-lh-temppara,ctx-lh-temppole,ctx-lh-tempsup,ctx-lh-froA,ctx-lh-tempHeschl,ctx-lh-vis-aud-bnd,ctx-lh-parolfact,ctx-rh-callosA,ctx-rh-callosB,ctx-rh-callosC,ctx-rh-callosD,ctx-rh-froB,ctx-rh-froC,ctx-rh-froD,ctx-rh-froinf,ctx-rh-froint,ctx-rh-frointB,ctx-rh-froorb,ctx-rh-froprefro,ctx-rh-frosup,ctx-rh-frosupant,ctx-rh-insinf,ctx-rh-inspostc,ctx-rh-insprec,ctx-rh-occpar,ctx-rh-occparastr,ctx-rh-occperistr,ctx-rh-occstr,ctx-rh-occtemp,ctx-rh-paradent,ctx-rh-paraspl,ctx-rh-parinfA,ctx-rh-parinfB,ctx-rh-parinfC,ctx-rh-vis-sen-bnd,ctx-rh-parsupA,ctx-rh-parsupB,ctx-rh-postcentA,ctx-rh-postcentB,ctx-rh-precentA,ctx-rh-precentB,ctx-rh-pyriform,ctx-rh-tempinf,ctx-rh-tempmed,ctx-rh-temppara,ctx-rh-temppole,ctx-rh-tempsup,ctx-rh-froA,ctx-rh-tempHeschl,ctx-rh-vis-aud-bnd,ctx-rh-parolfact
ctx-lh-temppole,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.159,-0.05,-0.073,-0.171,-0.011,-0.055,-0.03,-0.101,-0.091,-0.014,-0.041,-0.094,-0.004,0.036,0.025,-0.033,-0.005,-0.048,-0.064,0.047,-0.017,0.028,-0.001,-0.107,-0.042,-0.043,0.064,-0.111,-0.047,-0.053,-0.017,0.001,0.08,0.028,0.038,-0.042,-0.031,-0.066,-0.032,0.023,0.034,-0.108,0.046,-0.098,-0.163,-0.06,-0.021,-0.089,0.031
ctx-lh-tempsup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.017,-0.105,-0.044,-0.045,0.093,0.011,0.037,0.021,0.071,0.04,-0.007,0.108,0.074,0.126,-0.043,-0.041,-0.019,-0.019,0.055,-0.087,0.034,0.014,-0.116,-0.03,0.021,-0.027,-0.125,0.019,-0.033,-0.003,-0.029,0.003,0.039,-0.019,-0.115,-0.105,-0.087,-0.028,-0.041,-0.085,-0.136,-0.08,-0.088,-0.175,0.017,-0.029,-0.047,0.024
ctx-lh-froA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.089,-0.162,-0.157,0.04,-0.047,-0.032,-0.096,0.087,0.097,-0.067,0.011,-0.01,0.032,-0.067,-0.054,0.027,-0.025,0.034,-0.05,0.011,0.011,0.177,0.09,0.072,0.056,-0.095,-0.026,0.003,0.036,-0.125,0.002,-0.035,-0.051,-0.067,-0.082,-0.077,-0.018,0.093,0.011,-0.069,-0.009,-0.002,-0.032,-0.013,-0.14,-0.044,-0.044
ctx-lh-tempHeschl,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.058,-0.07,0.026,-0.067,-0.021,0.061,0.075,0.047,-0.044,0.074,0.042,0.066,0.033,-0.005,-0.028,-0.049,-0.061,-0.061,0.03,0.07,-0.054,-0.026,-0.011,-0.035,0.035,-0.085,0.023,0.134,0.005,0.023,0.022,0.064,-0.045,-0.059,-0.026,-0.004,-0.011,-0.06,-0.092,-0.014,-0.007,-0.091,-0.028,-0.097,-0.075,0.074
ctx-lh-vis-aud-bnd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.029,0.042,0.071,-0.073,-0.092,0.146,0.031,-0.082,0.074,0.134,0.088,-0.108,-0.129,0.037,-0.037,0.065,0.049,0.1,0.054,0.04,0.05,0.084,0.059,-0.049,-0.053,-0.015,0.08,0.027,0.114,0.098,-0.034,-0.081,-0.047,-0.098,0.002,0.048,0.022,-0.07,0.054,-0.074,-0.062,-0.103,-0.053,0.056,-0.061
ctx-lh-parolfact,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.026,-0.055,-0.139,0.052,0.03,-0.028,-0.102,-0.012,0.045,0.049,-0.066,0.015,0.008,-0.107,-0.018,0.044,-0.041,0.077,-0.022,0.018,-0.027,0.08,-0.003,-0.089,0.036,0.093,-0.005,0.065,0.024,0.095,-0.035,0.011,-0.05,-0.004,-0.013,-0.031,-0.019,0.058,-0.014,-0.061,-0.097,0.027,-0.052,0.049
ctx-rh-callosA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.065,0.051,0.096,0.014,-0.013,0.079,-0.096,0.004,-0.131,-0.01,0.001,0.012,-0.055,-0.108,0.027,-0.016,0.066,0.035,0.042,-0.096,0.046,0.091,-0.065,0.026,0.034,0.015,0.054,-0.013,0.068,0.053,0.065,0.091,0.078,-0.067,-0.004,0.023,0.09,-0.052,0.146,0.04,0.042,0.044,-0.017
ctx-rh-callosB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.01,0.028,-0.062,0.012,0.002,0.029,-0.042,-0.057,0.039,0.019,0.024,-0.072,-0.098,-0.043,-0.062,0.033,-0.082,0.042,-0.026,0.019,0.017,-0.171,-0.084,-0.005,-0.072,-0.01,-0.029,0.07,-0.005,0.031,0.098,-0.003,-0.094,-0.012,0.007,0.016,0.007,-0.006,-0.005,-0.016,-0.046,-0.008
ctx-rh-callosC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.038,0.1,-0.015,-0.068,-0.048,-0.0,-0.053,-0.021,-0.065,0.123,-0.053,-0.063,-0.041,0.022,0.018,0.072,0.098,-0.005,-0.012,-0.025,-0.108,-0.086,0.026,0.006,0.095,0.005,0.092,0.013,0.087,0.06,0.058,-0.056,-0.094,-0.094,0.024,-0.062,0.06,-0.007,-0.051,-0.079,-0.078
ctx-rh-callosD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.134,0.007,0.012,0.056,0.055,0.039,-0.018,-0.042,0.03,0.043,-0.059,-0.041,0.008,0.02,0.022,-0.005,0.008,-0.013,0.073,0.013,0.027,0.021,-0.034,0.04,0.021,-0.033,-0.113,-0.086,-0.074,-0.019,-0.012,-0.033,0.01,0.025,-0.034,0.025,-0.013,-0.052,0.0,-0.015
ctx-rh-froB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.062,0.07,-0.106,-0.066,-0.15,0.007,0.101,-0.037,0.08,-0.004,-0.004,-0.084,-0.08,0.024,-0.034,-0.089,-0.079,-0.027,0.088,0.025,-0.067,0.027,-0.001,0.005,0.063,0.048,0.054,0.044,-0.017,-0.011,-0.053,0.045,-0.035,-0.057,0.053,0.025,-0.007,0.02,-0.106
ctx-rh-froC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.112,-0.063,-0.061,-0.043,0.032,0.001,-0.042,-0.028,0.048,0.045,-0.013,-0.053,0.098,-0.005,-0.038,-0.051,-0.004,0.067,0.013,-0.036,0.06,0.022,0.024,0.025,0.029,0.033,0.039,0.044,0.004,-0.092,0.028,-0.024,-0.062,0.0,-0.024,-0.033,0.042,-0.104
ctx-rh-froD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.081,-0.055,-0.096,-0.093,-0.156,0.048,-0.098,-0.053,-0.043,-0.019,0.064,0.121,0.195,0.091,0.09,-0.016,-0.015,-0.086,-0.003,-0.025,0.156,0.076,0.07,0.002,0.016,0.002,0.046,-0.04,-0.128,-0.129,0.075,-0.099,0.019,-0.13,-0.07,-0.018,-0.114
ctx-rh-froinf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.014,0.002,0.056,-0.007,0.007,-0.094,0.046,0.071,-0.026,-0.052,-0.086,-0.008,-0.043,0.03,-0.102,0.003,-0.105,-0.046,0.039,0.025,-0.061,0.021,0.083,0.088,0.084,0.082,-0.035,-0.042,0.002,-0.007,-0.018,0.086,-0.101,0.073,0.013,-0.02
ctx-rh-froint,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.076,0.037,0.052,-0.026,-0.055,0.008,-0.013,-0.034,-0.021,-0.081,-0.005,-0.085,0.013,-0.057,-0.007,-0.062,-0.049,0.019,0.012,-0.043,0.038,0.064,0.048,0.091,0.039,0.002,-0.07,0.032,0.009,-0.011,0.115,-0.057,0.027,0.083,-0.044
ctx-rh-frointB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.042,0.044,-0.068,-0.043,-0.019,0.044,-0.103,-0.053,-0.14,0.001,-0.063,-0.005,-0.085,0.027,-0.097,-0.055,0.047,0.004,-0.074,0.013,0.056,0.033,0.071,0.053,-0.044,-0.06,0.018,0.011,-0.018,0.11,-0.115,0.06,0.05,-0.033
ctx-rh-froorb,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.073,0.07,-0.076,0.081,0.057,0.041,-0.018,-0.064,-0.039,-0.105,-0.005,-0.019,-0.033,-0.098,0.064,0.055,0.086,-0.05,0.046,-0.0,0.064,-0.062,0.08,0.05,0.005,-0.069,0.008,-0.031,-0.002,-0.104,0.026,-0.021,-0.071
ctx-rh-froprefro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.077,-0.099,0.023,-0.005,0.068,0.022,0.071,0.032,-0.002,0.032,0.007,-0.049,0.019,0.041,-0.023,0.113,0.034,0.008,-0.092,-0.045,-0.111,-0.039,0.006,0.01,-0.049,0.025,-0.062,-0.09,-0.131,-0.082,-0.015,-0.053
