,ctx-lh-FA,ctx-lh-FB,ctx-lh-FBA,ctx-lh-FC,ctx-lh-FCBm,ctx-lh-FDdelta,ctx-lh-FDL,ctx-lh-FDm,ctx-lh-FDp,ctx-lh-FE,ctx-lh-FF,ctx-lh-FG,ctx-lh-FH,ctx-lh-FL,ctx-lh-H,ctx-lh-IA,ctx-lh-IB,ctx-lh-LA,ctx-lh-LC1,ctx-lh-LC2,ctx-lh-LE,ctx-lh-OA,ctx-lh-OB,ctx-lh-OC,ctx-lh-PB,ctx-lh-PC,ctx-lh-PEm,ctx-lh-PEp,ctx-lh-PF,ctx-lh-PFD,ctx-lh-PG,ctx-lh-PH,ctx-lh-TA,ctx-lh-TB,ctx-lh-TE1,ctx-lh-TE2,ctx-lh-TF,ctx-lh-TG,ctx-rh-FA,ctx-rh-FB,ctx-rh-FBA,ctx-rh-FC,ctx-rh-FCBm,ctx-rh-FDdelta,ctx-rh-FDL,ctx-rh-FDm,ctx-rh-FDp,ctx-rh-FE,ctx-rh-FF,ctx-rh-FG,ctx-rh-FH,ctx-rh-FL,ctx-rh-H,ctx-rh-IA,ctx-rh-IB,ctx-rh-LA,ctx-rh-LC1,ctx-rh-LC2,ctx-rh-LE,ctx-rh-OA,ctx-rh-OB,ctx-rh-OC,ctx-rh-PB,ctx-rh-PC,ctx-rh-PEm,ctx-rh-PEp,ctx-rh-PF,ctx-rh-PFD,ctx-rh-PG,ctx-rh-PH,ctx-rh-TA,ctx-rh-TB,ctx-rh-TE1,ctx-rh-TE2,ctx-rh-TF,ctx-rh-TG
ctx-rh-FDm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.113,-0.073,-0.091,-0.004,-0.036,0.012,-0.036,-0.015,-0.004,0.074,-0.01,-0.033,-0.015,0.078,0.008,-0.003,0.038,0.013,0.064,-0.044,-0.054,-0.022,-0.009,0.038,0.072,-0.023,0.013,-0.056,-0.0,-0.063
ctx-rh-FDp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.021,-0.104,0.006,-0.093,-0.052,0.021,0.058,0.07,-0.04,-0.019,-0.037,0.011,0.041,-0.04,-0.044,0.011,-0.001,-0.047,-0.03,-0.019,0.104,-0.04,-0.063,0.052,-0.009,-0.027,-0.049,-0.041,-0.068
ctx-rh-FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.043,-0.026,-0.08,-0.027,0.017,0.001,-0.047,-0.033,0.032,-0.007,0.096,0.078,-0.01,-0.023,-0.047,-0.052,0.039,0.057,0.005,-0.037,0.059,0.059,0.003,-0.041,-0.03,0.041,0.01,-0.069
ctx-rh-FF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.003,-0.066,-0.038,-0.07,0.023,0.088,-0.013,-0.047,-0.072,-0.008,0.021,-0.063,-0.052,-0.037,0.096,0.041,-0.012,-0.038,0.046,-0.014,-0.018,0.053,0.019,-0.01,-0.029,-0.04,-0.059
ctx-rh-FG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.03,-0.027,-0.024,0.005,-0.014,-0.009,0.001,-0.026,0.011,0.004,0.033,0.031,-0.17,-0.108,-0.041,0.001,0.008,-0.088,0.014,-0.027,0.012,-0.058,-0.04,0.002,-0.044,-0.05
ctx-rh-FH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.031,0.03,0.07,0.037,-0.0,0.085,0.046,0.129,0.052,0.117,0.051,-0.092,-0.148,0.037,0.109,0.034,-0.022,0.005,-0.015,0.035,0.006,-0.102,-0.041,-0.01,-0.072
ctx-rh-FL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.041,0.112,0.036,-0.002,-0.031,-0.114,0.013,0.031,-0.039,0.043,-0.06,-0.066,-0.045,-0.031,0.013,0.054,-0.077,0.005,0.068,0.045,-0.042,-0.009,0.0,0.034
ctx-rh-H,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.078,-0.048,-0.028,0.098,0.054,0.123,0.009,0.03,0.045,0.004,0.001,0.006,0.047,-0.004,-0.018,0.069,0.062,-0.11,0.002,-0.066,0.024,0.011,-0.013
ctx-rh-IA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.04,0.0,-0.04,-0.081,-0.131,-0.046,-0.057,-0.075,0.158,0.147,0.081,-0.048,-0.012,-0.017,-0.041,-0.002,0.038,0.083,0.028,0.017,-0.039,0.059
ctx-rh-IB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.104,-0.084,-0.107,-0.143,-0.059,-0.07,-0.059,0.047,0.048,0.002,0.011,0.033,-0.1,-0.008,0.025,-0.011,0.043,-0.034,0.092,-0.001,0.037
